"links_link","links_reviews_name","links_reviews_title","links_reviews_text","links_reviews_date","links_reviews_purpose"
"https://www.renttherunway.com/pdp/items/VVB23","Kristina","Looks okay but nothing special. True to size and light summer skirt.","Fits true to size (I'm a 2/4 and in this I wore a 6 which is the equivalent of a 2). Fabric is a little see through. Looks cute and classy but nothing I'm in love with or would rent again.","July 6, 2019","Work"
"https://www.renttherunway.com/pdp/items/VVB23","Hannah","Not fitted in the waist","This is a beautiful skirt, but it is not fitted at the waist. If you are looking for a skirt to sit fairly low on your waist, go with your regular size (British sizing, I'm a 4 and ordered an 8). I really wanted to wear this with a nice blouse from RTR but because the waist isn't fitted, I didn't get the popover effect I wanted, so I didn't end up wearing it. I may try going down a size and wearing it higher up. Length was fine on me, but 5'3.5""","July 2, 2019","Large"
"https://www.renttherunway.com/pdp/items/VVB23","Tara","SO frumpy - couldn't wear","It's pretty rare for me to strike out on my rentals but this was a no-go and I sent it back right after trying it on. I should've read the reviews beforehand. Even with the British sizing, the skirt runs large and is super frumpy (Ie i'm a size 0, equivalent UK 4). The skirt sits at the lower part of the stomach accentuating any pooch area, and is wide with excess fabric on the hips. Does not look tailored at all. Very surprising for a Victoria Beckham piece.","March 4, 2020","Large"
"https://www.renttherunway.com/pdp/items/VVB23","Jacqueline","Bulky and didn't sit well","","February 20, 2020","Work"
"https://www.renttherunway.com/pdp/items/VVB23","Jackie","Bulkier than expected","The extra material on the front ended up sitting weird. It was cute but a bit bulky.","December 11, 2019","Other"
"https://www.renttherunway.com/pdp/items/VVB23","RTR Customer","I tried this on and it was WAY too big.","I read reviews saying it ran really big and sized down about 2 sizes, I should have gone one more.","October 18, 2019","Large"
"https://www.renttherunway.com/pdp/items/VVB23","RTR Customer","Too awkward to wear","Though this brand runs really small, ordering up to the size recommended by the site ended up being gigantic. If the sizing were correct, maybe the odd overlapping fabric would have looked better, but trying this on the odd lengths of overlapping squares and half a cinched belt (which was super tricky to even get looped) was TOO awkward for me. I didn't end up wearing it after trying it on and thinking the big size and extra fabric overlap looked too bulky to pull it off even with a tucked, fitted shirt.","October 18, 2019","Large"
"https://www.renttherunway.com/pdp/items/VVB23","Elise","I wore this skirt to work.","I ordered the equivalent of a US 6. I am usually between a US 6 and 8 and have worn Victoria Beckham dresses that run small in the past. This looks great sitting right at your waist, but it was too big on me and fell in a weird place. The skirt itself is beautiful.","September 27, 2019","Large"
"https://www.renttherunway.com/pdp/items/VVB23","Ashley","Bulky","I would have liked this if it was smaller. I don't know why it told to me get a 8UK size. I am a 4 usually. I should have sized down. It made me look bulky and very conservative.","September 17, 2019","Large"
"https://www.renttherunway.com/pdp/items/VVB23","Valerie","Beautiful skirt, but runs large","Hits mid calves for 5'6"". Runs large.","August 30, 2019","Work"
"https://www.renttherunway.com/pdp/items/VVB23","Blair","Ran too large, could not wear","Runs very large","July 31, 2019","Large"
"https://www.renttherunway.com/pdp/items/VVB23","RTR Customer","Didn’t wear it","Too big","July 23, 2019","Large"
"https://www.renttherunway.com/pdp/items/VVB23","Katelyn","Cute, but not for me","The skirt fit fine; however, there was a lot of material which led me to look larger than I would've liked.","July 18, 2019","True to Size"
"https://www.renttherunway.com/pdp/items/VVB23","RTR Customer","I couldn't wear it bc it was too big. You all sent a size 12 instead of a size 6.","I couldn't wear it bc it was too big. You all sent a size 12 instead of a size 6.","July 15, 2019","Large"
"https://www.renttherunway.com/pdp/items/VVB23","RTR Customer","Huge and not correct sizing","Order your normal US size as the UK is equivalent in this one. I'm US size 4 so ordered UK 8 as per sizing listed. It was like a US 8.","July 8, 2019","Everyday"
"https://www.renttherunway.com/pdp/items/YZFHNB23","Kristin","LOVED! So fun and many compliments","Perfect small cross body bag for everyday, or a night out! Super versatile. Love the color. Adjustable length for the strap as well which was great or you can hold by the handle!","February 17, 2020","Everyday"
"https://www.renttherunway.com/pdp/items/YZFHNB23","Chelsey","Very cool, looked very luxe, it is small tho!","Loved it -- but it is very small! That may not be a bad thing, but I was surprised by how small it was.","February 6, 2020",""
"https://www.renttherunway.com/pdp/items/YZFHNB23","Elizabeth","Pretty color, high quality, good small size","Someone asked if it was a Celine. That's a compliment to the design!","February 2, 2020","Party"
"https://www.renttherunway.com/pdp/items/YZFHNB23","Madelaine","Fun bag a few steps from the traditional","this bag was a really great size and color. this is a good baby step into a more funky bag look when you are used to more traditional bags. The only con with this bag is it sometimes popped open (maybe the magnetic snap wasn't that strong) but this was just as I was closing it and realize it did not snag correctly.","January 16, 2020","Date"
"https://www.renttherunway.com/pdp/items/YZFHNB23","Molly","Adorable and tiny","Ordered this for vacation at an all inclusive resort!! Was perfect for lipgloss, cellphone and id! Obsessed with this bag.","January 3, 2020",""
"https://www.renttherunway.com/pdp/items/POLO14","Annika","Cute but wrinkles easily","Very cute print and bow tie at the neck but kinda baggy in the waist and wrinkles so easily. Linen-blend fabric. Wore it once with bright blue pants but that's it.","October 30, 2019","Work"
"https://www.renttherunway.com/pdp/items/POLO14","Jae","Cute shirt but runs a little small...","This shirt was cute, but it was too small in the bust and not long enough to tuck in. I do not have a large bust so I was shocked by that. If I got it again I would size up, but I think the other parts of the shirt might then be too roomy. If you try it, I still suggest sizing up. I couldn't wear the shirt as I planned. Returned it immediately.","August 16, 2019","Everyday"
"https://www.renttherunway.com/pdp/items/POLO14","Stephanie","Perfect summer work top!","Love this comfy, linen type top. It's airy and great for work. The pattern is not overly feminine but pretty with blue tones. Short sleeves & tie neck give it a nice clean modern look","August 15, 2019","Work"
"https://www.renttherunway.com/pdp/items/POLO14","Kirsten","Cute, but linen fabric","I really enjoyed wearing this top at work. It feels a little old school in a good way. Keep in mind, this is a linen fabric, so it does tend to wrinkle over the course of the day. May be best tucked in with a high-waisted bottom.","July 30, 2019","Work"
"https://www.renttherunway.com/pdp/items/POLO14","Laura","Loved it!","True to size. Material feels like linen. Beautiful colors. Tie at neck adds a nice detail. Got lots of compliments.","July 18, 2019","True to Size"
"https://www.renttherunway.com/pdp/items/POLO14","Rachel","Shame","The sleeves were tight around my non existent guns. The pattern was nice, but couldn't wear it.","April 16, 2020","Work"
"https://www.renttherunway.com/pdp/items/POLO14","Jody","Material was different than expected.","This shirt fit well but it was wrinkled and needed to be ironed. I also thought the material was more casual than I was expecting.","February 26, 2020","True to Size"
"https://www.renttherunway.com/pdp/items/POLO14","Freya","Beautiful print","The blouse fit true to size. Paired with jeans for casual day at work.","October 1, 2019","Work"
"https://www.renttherunway.com/pdp/items/POLO14","RTR Customer","Meh.","It's cute, but nothing to write home about. The fabric is good thick cotton. The style is cute but the pattern is a little too little girlish for my taste. I think I would have worn this all the time if I were a college woman, just not very good for professional day wear.","September 25, 2019","Small"
