"links_link","links_Review_name","links_Review_Title","links_Review_Text","links_Review_Date","links_Review_Purpose"
"https://www.renttherunway.com/pdp/items/GRJ44","Sarah","Can go with so much","Thicker material than expected, which I think was actually nice and supportive for the girls :) super cute and goes with a lot","October 26, 2019","Party"
"https://www.renttherunway.com/pdp/items/GRJ44","Marissa","Horrendous","Don't rent this unless you have a C+ breast size. This made me look huge and I couldn't fill the top!","February 21, 2020","Party"
"https://www.renttherunway.com/pdp/items/GRJ44","Mandy","Too small, didn't wear","This was really cute but I was not able to wear it. I usually wear a medium quite comfortably but this was too tiny. I couldn't get it on properly. It was way too tight around the rib cage, and it was much more of a crop cut than I expected, so it showed more belly that I was willing to show, plus it was so tight that it cinched the midriff in a very unflattering way.","November 4, 2019","Small"
"https://www.renttherunway.com/pdp/items/GRJ55","RTR Customer","Dinner date with the girls, girls night!","This dress felt amazing to wear, although I think I should have worn the 4. I enjoyed it on me, but I don't think it is very photogenic. I don't think it really captured how it truly fit me in reality.","March 7, 2020","Date"
"https://www.renttherunway.com/pdp/items/GRJ55","Emily","Unique dress for Baptism","The dress was a lovely silky material. I was looking for something appropriate for my son's winter baptism. The dress was a bit too low cut for my liking and was not easy to pin shut because of the silky material. I'm usually a size 6, but easily wore the 4 and could have possibly even sized down to a 2. Overall I liked the dress and it was a reasonable price but not sure I'd ever have a reason to rent again.","January 23, 2020","Other"
"https://www.renttherunway.com/pdp/items/GRJ55","Cherie","Fun and professional","I started a new job but I wanted some fun dresses to wear the first week. I got this one and I love it! You will have to wear a tank top underneath it so your boobs don't fall out. It's very soft and beautiful. I got so many compliments on the dress.","January 18, 2020","Work"
"https://www.renttherunway.com/pdp/items/GRJ55","Katherine","Lovely","Wore this for a rehearsal dinner. Perfect, classy length. I did use fashion tape to make the neckline a little more appropriate but would be a great for any occasion. Definitely would rent again!","December 27, 2019","Formal Affair"
"https://www.renttherunway.com/pdp/items/GRJ55","Chelsea","Beautiful dress! Little big in the chest","This dress was beautiful and elegant. It was a little big in the chest for me so I needed some garment tape to be safe but otherwise fit perfectly.","December 22, 2019","Party"
"https://www.renttherunway.com/pdp/items/GRJ55","Amy","Great holiday work party dress","Definitely more conservative in length and shape- so perfect for festive work event - but the layering flows beautifully with movement and the silk fabric is gorgeous","December 10, 2019","Party"
"https://www.renttherunway.com/pdp/items/GRJ55","RTR Customer","Bought It!","PROS: This dress is so comfortable. Can't really say why. It just fits so nice. The skirt is flowy and you feel so pretty in it. CONS: None really. I just wish it had shorter sleeves. I may have it altered since I bought it.","April 11, 2020","True to Size"
"https://www.renttherunway.com/pdp/items/GRJ55","RTR Customer","Ok","The material is smooth and soft, very comfortable however the cleavage opened so wide. Need to wear something under","February 4, 2020","Work"
"https://www.renttherunway.com/pdp/items/GRJ55","Jessica","Beautiful dress","Loved the hemlines and the fabric felt so good. Very pretty dress! Lots of compliments!","January 30, 2020","Party"
"https://www.renttherunway.com/pdp/items/GRJ55","Brittany","I did rate it true to size but it was a little tight on the stomach for me","I did rate it true to size but it was a little tight on the stomach for me","January 24, 2020","Party"
"https://www.renttherunway.com/pdp/items/GRJ55","Leah","Wore to the ballet","The dress is pretty fabric and nice quality, but ultimately was not my favorite because it was a bit robe-like with the wrap style front and the pattern. I ended it up wearing it though, so it's not terrible, just not my fav. For reference, I am 5'4"" 118lbs, 32 A, petite frame. When I would sit down with the dress on, the chest would gape open where the fabric crosses. Luckily I have a maroon slip from another dress that matched perfectly, so I had to wear that underneath or else my entire chest would be exposed! But I always have this issue with dresses that have a wrap-type of bodice. If you have that issue usually, then expect that with this dress. Otherwise, the length was a bit long for me, but with some high heels, it worked. Overall, the fabric itself is pretty, it's nice quality, but I wouldn't rent it again.","January 5, 2020","True to Size"
