"links_link","links_reviews_name","links_reviews_title","links_reviews_text","links_reviews_date"
"https://www.nuuly.com/products/brush-strokes-sheer-blouse?color=090","JamieElizabeth","Awkward","Just not flattering at all.","2-Mar-2020"
"https://www.nuuly.com/products/brush-strokes-sheer-blouse?color=090","linds050494","Dress up !","Great shirt received so many compliments. It is see through so you have to wear an undershirt definitely more going out attire. Not work wear.","8-Feb-2020"
"https://www.nuuly.com/products/brush-strokes-sheer-blouse?color=090","jesseabee","Liked it in the photos but not in person","Beautiful fabric just not for me when I got it in person. Didn't wear.","30-Jan-2020"
"https://www.nuuly.com/products/brush-strokes-sheer-blouse?color=090","AmandaJaynne","Pretty on the right person","This piece is pretty, but unflattering if you're super lacking in the bust area.","26-Jan-2020"
"https://www.nuuly.com/products/brush-strokes-sheer-blouse?color=090","jbeanc","Meh","I never wore this one. The colors and pattern were odd and didn't match any pants that I own.","10-Jan-2020"
"https://www.nuuly.com/products/brush-strokes-sheer-blouse?color=090","Krista","cute casual","Cute casual, fun to wear","9-Dec-2019"
"https://www.nuuly.com/products/brush-strokes-sheer-blouse?color=090","CreativityProf","Did not wear","Material and fit were not flattering","9-Dec-2019"
"https://www.nuuly.com/products/brush-strokes-sheer-blouse?color=090","Morgan","Just didnt fit","Was a weird fit for a flowie top","3-Dec-2019"
"https://www.nuuly.com/products/brush-strokes-sheer-blouse?color=090","Kmhodom","Very very sheer","Just have to wear a nude cami under it. Otherwise it’s great","22-Nov-2019"
"https://www.nuuly.com/products/brush-strokes-sheer-blouse?color=090","EGreen","Beautiful Print!","The colors on this blouse are beautiful. I wore it to work with a wine colored vest and received ALOT of compliments. It fits true to size, but girls with larger chests, beware. Its a little tight fitting over the chest area where the lace is. Otherwise, gorgeous top!","15-Nov-2019"
"https://www.nuuly.com/products/brush-strokes-sheer-blouse?color=090","Hez","Lovely.","Beautiful, just got too cold too fast for me to get a chance to wear it!","15-Nov-2019"
"https://www.nuuly.com/products/brush-strokes-sheer-blouse?color=090","Renner","Fun Top!","This top is a fun one but something to note: it's completely see-through and needs a cami under it if you want to wear it to the office.","12-Nov-2019"
"https://www.nuuly.com/products/brush-strokes-sheer-blouse?color=090","tfmarron","Cute, Sheer, Funky Pattern","Liked this top a lot, wore it to work and got plenty of compliments. But the pattern sometimes caught my eye and I was sure it was a stain or something I had gotten on myself. Never was, but the pattern definitely has the optical illusion of such! Comfy and flowy but for sure pretty sheer. Not see through but very sheer. Also had a little high-low cut. Overall really cute!","7-Nov-2019"
