"links_link","links_reviews_name","links_reviews_title","links_reviews_text","links_reviews_date"
"https://www.nuuly.com/products/danae-poplin-babydoll-blouse?color=089","Leahmonade","Puffy, puffy sleeves!","I really liked this too. The fit and the print are awesome. However, the sleeves are super puffy and make it just a bit uncomfortable for me.","18-May-2020"
"https://www.nuuly.com/products/danae-poplin-babydoll-blouse?color=089","canadamerican","Cute by too big","Cute item and print but i definitely would have sized down at least 1, maybe 2 sizes. The bust was pretty huge... especially for a not-exactly-busty me.","15-May-2020"
"https://www.nuuly.com/products/danae-poplin-babydoll-blouse?color=089","Noelani73","Material","I wasn’t a fan of the material, the shirt was not soft.","14-May-2020"
"https://www.nuuly.com/products/danae-poplin-babydoll-blouse?color=089","ChristieC","Bold and Beautiful","So pretty and fun!","4-May-2020"
"https://www.nuuly.com/products/danae-poplin-babydoll-blouse?color=089","TXGator","Unflattering fit, pretty fabric pattern","This top has a really cute pattern and looks great for spring/summer weather. What didn't work was the low v cut and the poof sleeves (it doesn't look like that in the model picture). The fabric was not soft cotton but rather stiff. If between sizes I would size down..which I did and still felt it was not fitting properly.","1-May-2020"
"https://www.nuuly.com/products/danae-poplin-babydoll-blouse?color=089","Crysmopal","Down size","This blouse is cute but was way too big. The material is odd but not awful. Possibly could have worn had it fit.","28-Apr-2020"
"https://www.nuuly.com/products/suzy-mock-neck-sweater-tank?color=025","","","",""
"https://www.nuuly.com/products/catmandou-tee?color=000","jesscerre","Perfect for a cat lady","I’m a crazy cat lady, so this tee was perfect for me. I sized up for an oversized fit. Very soft; thin but not sheer. Would have purchased if it was cheaper. Will definitely rent again.","6-May-2020"
"https://www.nuuly.com/products/catmandou-tee?color=000","Natalie324","Carol Cat Tee","Super cute, relax fit tee. Very soft!","29-Apr-2020"
"https://www.nuuly.com/products/catmandou-tee?color=000","Eyeris","Fun Tee","The quality of this T-shirt is really nice and comfortable. The print and colors stood out and made it feel super playful. I loved the length of the sleeves since they weren’t too short or too long.","15-Apr-2020"
"https://www.nuuly.com/products/giva-striped-buttondown?color=070","Shelly12","Fits nice, beautiful details","Fits true to size, nice light airy fabric. The details are really pretty. I would wear to work or a nice brunch.","28-Feb-2020"
"https://www.nuuly.com/products/giva-striped-buttondown?color=070","kchaseeeee","Fit true to size, but roomy","-fit as expected and has a bit of give overall, but not structured -cotton feel -could wear this to work or with jeans","28-Feb-2020"
"https://www.nuuly.com/products/lava-trousers?color=018","kchaseeeee","Love the overall style, but really tight in hip and thigh","- straight leg, lots of room on the lower half, but the tight at hips -not a lot of stretch - would wear with a crop top","28-Feb-2020"
"https://www.nuuly.com/products/lava-trousers?color=018","Eliza","Runs very small, not for curvier hips","- slim fit overall - size up 2 sizes for curvier figures - silky fabric - would wear to a wild party","28-Feb-2020"
"https://www.nuuly.com/products/midsummer-sleeveless-maxi?color=065","ljospam3","This dress makes me feel like a princess","This is the very best dress I have ever worn. I am a true size 20/22 on my bottom half, but a size 14/16 on my top half, so finding dresses that work for me can be really impossible. This dress fits like a DREAM. It is so soft, so flowy, and so flattering. I can definitely understand why some folks reviewed that it was tight in the waist/bust. If I had a ""normal"" plus size bust, there is no way this would fit me. But my full B cups fit fine, and I think it would probably work for up to a full C or small D in the 20W size. It is very long, which also works for me. I'm 5'9"" and it skims the floor when I'm barefoot. I love this dress so much that I'm just constantly wearing it around the house during quarantine. And trying to convince myself that I don't need to shell out the $350+ to own it forever.","12-May-2020"
"https://www.nuuly.com/products/midsummer-sleeveless-maxi?color=065","nichole1","Beautiful dress but tight in the waist","Such a pretty flowy dress. The waist was tight so I should’ve sized up to be comfy.","17-Apr-2020"
"https://www.nuuly.com/products/leah-twist-front-ss-top?color=054","Abaldwin","Soft but SHORT","This was a super soft too but it was a lot more cropped than it looks in the pictures. Not my thing but I could see some loving!","17-May-2020"
"https://www.nuuly.com/products/leah-twist-front-ss-top?color=054","Mels","Super soft but too cropped for me :(","Belly button full on showing. Super cute and cozy shirt but cut too short for my body.","17-May-2020"
"https://www.nuuly.com/products/leah-twist-front-ss-top?color=054","lotte","Soft and cute","Very soft high quality material. Loved!","13-May-2020"
"https://www.nuuly.com/products/leah-twist-front-ss-top?color=054","JehyenV","Cute and soft","I loved how soft this top was. I dressed it up with high waisted pants and shorts. It was a soft pink and i like the twist detail in the front.","10-May-2020"
"https://www.nuuly.com/products/leah-twist-front-ss-top?color=054","OMP","Just Okay","Amazing material but the fit was a little big and nothing special!","1-May-2020"
"https://www.nuuly.com/products/leah-twist-front-ss-top?color=054","CreativityProf","Not for long torsos","Fit my shoulders perfectly but totally too short. Even with high waisted pants. Unless you want to show your belly skip this one","30-Apr-2020"
"https://www.nuuly.com/products/leah-twist-front-ss-top?color=054","LaurenVM","Soooooo comfy but not great for busty girls","Literally the softest material ever but looked kinda weird if youre large chested like me","23-Apr-2020"
"https://www.nuuly.com/products/leah-twist-front-ss-top?color=054","Vic","I like it!","It’s exactly like you’d expect- only softer!","19-Apr-2020"
"https://www.nuuly.com/products/leah-twist-front-ss-top?color=054","ChezSimone","Super Soft Crop(ish)","Super soft tee, a little thicker than most shirts, but one of the aesthetically cuter/more put together twist front shirts I've come across. It is a bit short and my belly button showed even with high rise jeans. I wore on the deck when it was a bit warm and I noticed I had a bit of a sweat mark. Wish it was just a teeny bit longer and I would buy even just for home use.","18-Apr-2020"
"https://www.nuuly.com/products/leah-twist-front-ss-top?color=054","Daina","Soooo soft!","Bought this immediately. It’s ridiculously comfortable and I felt so cute in it with high waisted jeans and some jewelry.","11-Apr-2020"
"https://www.nuuly.com/products/leah-twist-front-ss-top?color=054","annestes","The perfect go to shirt","I’m obsessed with this shirt! I’m quarantining away from my house and clothes so I just had nuuly send me good basics & I’m so glad I did because I’m obsessed with this shirt. The size chart is weird because it’s a 1,2 or 3. I got a 2 and usually wear a medium and it fit perfect. This shirt is fun because it’s so cute with leggings and tennis shoes, jeans & wedges or even a skirt. Big fan! Will probably buy it!","7-Apr-2020"
"https://www.nuuly.com/products/leah-twist-front-ss-top?color=054","MaryMchitown","Soft, great color, a bit casual","Cute top! The fabric is really soft. It’s hard for me to find crop tops that aren’t too short - this was a great compromise (short in the front, longer in the back). The draping is flattering, it helps that the fabric is a nice heavier weight. This almost feels like athleisure - i could wear it to yoga, except the fabric is a little thick for that! Would rent it again.","4-Apr-2020"
"https://www.nuuly.com/products/leah-twist-front-ss-top?color=054","Anniekay","Leah top","So soft so pretty so simple so great","30-Mar-2020"
"https://www.nuuly.com/products/leah-twist-front-ss-top?color=054","Eliza","True to Size, Super Flattering","True to size, crop in front, lower (natural waist length) on the sides, perfect with high-waisted jeans and skirts","7-Feb-2020"
"https://www.nuuly.com/products/uo-boho-linen-shortall-overall?color=230","Alienz8mypopcorn","Flattering On A Pear!","I got this during quarantine, so I mostly wore it around my house. My husband *adored* this, and I felt good when I looked in the mirror as well. It is slimming, and very versatile. It looks cute with either a patterened or single color top. I didn't feel like it accentuated my wide hips, and it ended at my upper thigh. Ended up buying the piece!","7-May-2020"
"https://www.nuuly.com/products/uo-boho-linen-shortall-overall?color=230","AZMommy","Quarantine Comfy, Anyone!","Ok, these are so comfy, I wore them all around! The living room, the kitchen, I even wore them out to my patio. Everyone I never saw would have complimented this outfit if they could have. :)","27-Apr-2020"
"https://www.nuuly.com/products/uo-boho-linen-shortall-overall?color=230","Cassidiaa","So cute","Great for these WFH days, lounging, running errands (when able again).","14-Apr-2020"
"https://www.nuuly.com/products/brushstroke-poplin-blouse?color=090","Mels","Super cute top but cut isn't flattering if you're petite/busty","Huge and boxy on me. Love the colors but not flattering on my body.","17-May-2020"
"https://www.nuuly.com/products/brushstroke-poplin-blouse?color=090","Katiecarrothers","Ehhh","I wasn’t a huge fan of this blouse. It left me feeling like I was wearing nursing scrubs. I preferred to wear this shirt backward actually.","6-May-2020"
"https://www.nuuly.com/products/brushstroke-poplin-blouse?color=090","emzy","Not my favorite","The print looks way better on the model than me. Also, the fit was just okay. Overall, it did me no favors.","28-Apr-2020"
"https://www.nuuly.com/products/brushstroke-poplin-blouse?color=090","SnooMama","Oversized and open-backed","This is a fun top that fits large (even in SP, I wish I'd sized down) and is pretty open in the back. (Perhaps this aspect would have been less pronounced in a smaller size?) Also, it wrinkles easily so prepare to give it a steam if you're not into the rumpled look.","26-Apr-2020"
"https://www.nuuly.com/products/brushstroke-poplin-blouse?color=090","Anita","So cute!","I really, really love this blouse. It's comfy, cute, and just unique enough. The back is really fun! It fit slightly oversized, so you could size down if you want it to be more fitted.","14-Apr-2020"
"https://www.nuuly.com/products/bowen-sequin-dress?color=070","kchaseeeee","Runs Large","Runs large, super comfortable, could work for a bridesmaid, wedding, has enough stretch for early maternity","28-Feb-2020"
"https://www.nuuly.com/products/bowen-sequin-dress?color=070","Eliza","Runs Large","Runs Large, generous bust, stretch fabric, size down for a fitted look, great for a wedding","28-Feb-2020"
"https://www.nuuly.com/products/lima-long-robe?color=049","jh228304","Beautiful Coverup","The fabric and pattern are so so beautiful. I chose this due to the fact that we are under stay at home orders and wanted something pretty to wear around the house. It was definitely great for that, but I’m sure it would be a lot more fun to wear as a coverup on vacation! I only deduct one star because it is quite long for short people. I’m 5’3’’ and almost tripped on it a few times.","13-May-2020"
"https://www.nuuly.com/products/lima-long-robe?color=049","ElizabethVC","So chic and comfortable","I wore this for some quarantine flair, and got so many compliments (via Zoom meetings). This is way too expensive to consider buying I would definitely rent it again, especially when I can go out into the world! It feels very luxe to wear it around the house. I wore it over a slip dress and over jeans and a tee. Very versatile and nice fabric.","8-May-2020"
"https://www.nuuly.com/products/lima-long-robe?color=049","littledee","Amazing","so fun- I felt really 'expensive' wearing this- over jeans and a white tank, so cute.","7-May-2020"
"https://www.nuuly.com/products/lima-long-robe?color=049","ChristieC","Magic","Oh my word! This is soft, flowy, and perfect lounge wear! Price was to steep for me to buy, but I felt spoiled to be able to rent it!","4-May-2020"
"https://www.nuuly.com/products/lima-long-robe?color=049","Artart","Didn't get a chance to wear this beauty!","Beautiful. Sadly, did not have a chance to wear this : (","3-May-2020"
"https://www.nuuly.com/products/lima-long-robe?color=049","PookaPower","Lovely","Beautiful and well made. Would get again to lounge luxuriously around my house.","1-May-2020"
"https://www.nuuly.com/products/lima-long-robe?color=049","ag19","Beautiful and Comfy","This robe was comfy and the fabric is beautiful and luxurious.","29-Apr-2020"
"https://www.nuuly.com/products/lima-long-robe?color=049","Dressedeveryday","very cute","very cute, especially as the days get warmer it could be great. I did struggle with the belt a bit but eventually tied it in back","29-Apr-2020"
"https://www.nuuly.com/products/lima-long-robe?color=049","GetEdgy","Great piece","I wore this like a dress with a vintage blue belt and received so many compliments. It was comfy enough that I was able to wear it with stay at home orders in place. I will rent it again to wear open with jeans and shorts later but it was great to know it was such an easy to style piece","EMPLOYEE REVIEW"
"https://www.nuuly.com/products/lima-long-robe?color=049","blahblah","Gorgeous","So gorgeous! Would buy if it wasn’t so expensive!","25-Apr-2020"
"https://www.nuuly.com/products/lima-long-robe?color=049","Dawnita","Too Biggy","Very big, doesn’t fit well","23-Apr-2020"
"https://www.nuuly.com/products/lima-long-robe?color=049","Jenx","Gorgeous!","I couldn’t wear this robe enough! It’s silky soft and comfortable. Throw it over a tank to wear around the house, or wear it for a night out!","22-Apr-2020"
"https://www.nuuly.com/products/lima-long-robe?color=049","Linz","High Quality!","Silky, true to size. Never got to wear it. definitely not made for lounging around, a bit less casual.","21-Apr-2020"
"https://www.nuuly.com/products/lima-long-robe?color=049","kangaroo","Quarantine chic","Have been loving lounging around in this silky robe while i'm working from home. Makes me feel sophisticated, sexy, and comfy all at once. Probably wouldn't buy this for such a hefty price tag, but it's been a fun rental.","17-Apr-2020"
"https://www.nuuly.com/products/lima-long-robe?color=049","Mooseshuman","Just lovely","Even prettier than pictured. I’ll be wearing this daily until I’m forced to give it back. I would buy it but can’t afford a $400 kimono :P","15-Apr-2020"
