"links_link","links_reviews_name","links_reviews_title","links_reviews_text","links_reviews_date"
"https://www.nuuly.com/products/brinn-textured-sweater?color=053","Amp93","Easy","My coworkers said it looked very cozy and it was!","13-Mar-2020"
"https://www.nuuly.com/products/brinn-textured-sweater?color=053","Abracadabra","Great casual cozy sweater","Loved the color / texture and coziness. Fit was pretty good, not the longest in belly area if pregnant but worked for me at ~20 weeks.","12-Mar-2020"
"https://www.nuuly.com/products/brinn-textured-sweater?color=053","kacie","HUGE","This sweater was huge and not in a oversized cute way. The neckline was so wide it kept falling off my shoulders, again not in a cute way.","6-Mar-2020"
"https://www.nuuly.com/products/brinn-textured-sweater?color=053","stmd","Great","Loved this sweater! Expect it to be slightly oversized but not too much. I actually wish i sized up because i like my sweaters to have a lot of room, but it still looked great. It also felt great! There is a lot to love with this one.","5-Mar-2020"
"https://www.nuuly.com/products/brinn-textured-sweater?color=053","Elise1010","Short and square","Short, square, wide neckline...just really didn’t like it on my body.","2-Mar-2020"
"https://www.nuuly.com/products/brinn-textured-sweater?color=053","mvekov","Not as nice as I thought it would be","Overall ok piece. The photo definitely makes it look nicer than it is. More of a casual sweater. I wore it a few times - but was not very impressed.","2-Mar-2020"
"https://www.nuuly.com/products/brinn-textured-sweater?color=053","LilaHawk","Nice everyday sweater","Nothing too special but great for everyday use I wore it to work a few times.","27-Feb-2020"
"https://www.nuuly.com/products/brinn-textured-sweater?color=053","Finnsmom","Cute Basic Sweater","This sweater was cute. Good color, comfortable and not too heavy. It just wasn't anything special. I wore a medium and it still has the slightly over-sized look.","26-Feb-2020"
"https://www.nuuly.com/products/brinn-textured-sweater?color=053","emnem","Cute + feminine","I loved this piece. Great pale pink color and the cropped length worked well with dark, high waisted jeans.","26-Feb-2020"
"https://www.nuuly.com/products/brinn-textured-sweater?color=053","CACat","Blah.","The color washed me out, the fit was boxy.","26-Feb-2020"
"https://www.nuuly.com/products/brinn-textured-sweater?color=053","InAHandbasket","Looked so cute on the model!","I loved this on the model, but I felt frumpy in it. The knit is very thick, and I felt like it is made for a thinner body type than mine. Pity as it was very good quality.","25-Feb-2020"
"https://www.nuuly.com/products/brinn-textured-sweater?color=053","amy123456","Cute but short","If you are okay with tops on the shorter side, you will like this sweater. Its very cute but showed my stomach often (I am okay with that but most people are not). Wore to dinner with friends","18-Feb-2020"
"https://www.nuuly.com/products/brinn-textured-sweater?color=053","HGOODY","Great basic sweater","Wore a million times, great for work or a casual dinner.","18-Feb-2020"
"https://www.nuuly.com/products/brinn-textured-sweater?color=053","CStgelais","I loveddd it!","I know there were mixed reviews on this sweater but I loved it. It definitely is a little boxy on the hips so you just have to style it right. The large was nice because I wanted it to be oversized. Major points won for comfy level!","13-Feb-2020"
"https://www.nuuly.com/products/brinn-textured-sweater?color=053","Tinypineapple","I lived in this!","Loved everything about this sweater!","10-Feb-2020"
"https://www.nuuly.com/products/brinn-textured-sweater?color=053","Brook","Classic","This was a great piece! I could throw it on and easily feel pulled together, even though it was just a casual winter staple. The fit was very flattering.","3-Feb-2020"
"https://www.nuuly.com/products/brinn-textured-sweater?color=053","Butterfly123","Perfect weekend sweater","The sweater is perfect for pairing with jeans or a nice pair of dress pants. Very neutral to go with any color!","18-Jan-2020"
"https://www.nuuly.com/products/brinn-textured-sweater?color=053","G","Another Winner","I didn't want this sweater to be as oversized as pictured so I sized down and ordered an XXS P instead of XS P and it exactly as I wanted. So happy with this sweater. Neckline is very flattering. By sizing down, the sleeves are 3/4 length on me which is perfect because I don't have to keep pushing them up all the time. Looks great with a skirt or with jeans. I'm loving everything in my order this month. I'm always so excited to zip open my suitcase when it arrives. Thank you, Nuuly.","17-Jan-2020"
"https://www.nuuly.com/products/rainbow-turtleneck-sweater?color=090","LadyPinecone","Dreamy colors","Soft and lovely, but the neck was a bit large. I have a pretty long neck and this was a bit too long of a turtleneck. I wear turtlenecks almost daily and this one was one of the few that ever gave me that choking feeling.","29-Mar-2020"
"https://www.nuuly.com/products/rainbow-turtleneck-sweater?color=090","baileyyoung516","Warm and beautiful!","Comfortable, warm, great colors! Unfortunately, I only got one wear out of it on vacation in NYC. I like in Texas, and it just wasn't cold enough to wear again at home. If you live in a cold area, you will enjoy this!! True to size, soft and cozy!","6-Mar-2020"
"https://www.nuuly.com/products/rainbow-turtleneck-sweater?color=090","LonghornLady","Super cute sweater!","I liked this a lot. I wore it on a couple of those spring days when it was still cold. I'd like to keep it longer, but spring is short where I live and it's too hot.","6-Mar-2020"
"https://www.nuuly.com/products/rainbow-turtleneck-sweater?color=090","BeccaEn","WAY too much neck","When i say this is the turtle neck.... this goes all the way up to your eyes. It was so thick around the neck i looked silly! Only wore once. Great rainbow color though.","28-Feb-2020"
"https://www.nuuly.com/products/rainbow-turtleneck-sweater?color=090","stylemeannie","Bright, colorful and warm to get you through the dreary winter days.","Nice slouchy fit with chunky turtleneck. Loved it!","25-Feb-2020"
