"links_link","links_reviews_name","links_reviews_title","links_reviews_text","links_reviews_date"
"https://www.nuuly.com/products/cashmere-coffee-date-cardigan?color=010","SquidStevens","Cute & classic","Can’t go wrong with this one in my opinion! It’s so soft and classy!","28-Dec-2019"
"https://www.nuuly.com/products/cashmere-coffee-date-cardigan?color=010","Blake","Nice. But not Wow.","I liked wearing this and the quality was great! It didn’t really ‘wow’ me from a fit standpoint. I wore it without an undershirt, buttoned up and my bra came out a bunch. When it was in place I loved it, but also didn’t enjoy checking my gals all day.","18-Dec-2019"
"https://www.nuuly.com/products/cashmere-coffee-date-cardigan?color=010","minnie909","Decent Cold-weather Layer","I've wanted to try Naadam and thought this piece would be a good place to start. A lot of the reviews mentioned how soft it was, so I was excited. I found it to be a little itchy. I wore it layered over a long-sleeved top and that helped. It is extremely warm, and goes with practically everything, so it was a good layer. Ultimately I wouldn't get it again, it didn't really do anything for me shape-wise.","2-Dec-2019"
"https://www.nuuly.com/products/cashmere-coffee-date-cardigan?color=010","KHopkins","So soft!","Super soft and cozy sweater. Fit great. A little cropped but still appropriate for work and play.","21-Nov-2019"
"https://www.nuuly.com/products/cashmere-coffee-date-cardigan?color=010","ladyflashback","Elegant af","SO SOFT AND DREAMY. Would buy if I wasn't already buying another piece I rented.","20-Nov-2019"
"https://www.nuuly.com/products/cashmere-coffee-date-cardigan?color=010","amw324","Soft, chic, versatile","I wore it out for Friday night dinner with fewer buttons from the bottom and high waisted jeans and to church the next day over a dress. You can't go wrong with this.","7-Oct-2019"
"https://www.nuuly.com/products/cashmere-coffee-date-cardigan?color=010","sam27","Perfect Sweater","Loved it!","27-Sep-2019"
"https://www.nuuly.com/products/cashmere-early-to-rise-sweater?color=003","hmj","Soft, Staticky","I received a really tiny sweater and the model looks like it’s oversized so I didn’t wind up loving this like I thought I would.","22-Apr-2020"
"https://www.nuuly.com/products/cashmere-early-to-rise-sweater?color=003","Gemmajames","Cozy and casual","This was a great sweater to wear around the house on cold winter days. The fit was quite baggy so I felt very casual in this.","10-Mar-2020"
"https://www.nuuly.com/products/cashmere-early-to-rise-sweater?color=003","sramire8","Cute Cashmere","A great classic sweater for any outfit. I was able to dress it up for work (at the office) and wear it with a cute pair of jeans like the model. It runs large, I typically wear a medium in tops and ordered a small. I was glad to experience having cashmere, but dry cleaning was a pain. I only wore a handful of times and considered keeping it one more month!","14-Jan-2020"
