"links_link","links_reviews_name","links_reviews_title","links_reviews_text","links_reviews_date"
"https://www.nuuly.com/products/amira-utility-blouse?color=066","Yany","Runs small","I decided to order a medium because of a review I read, but I wish I would have ordered an XL. The medium fits, but is snug and not loose fitting or flattering. Also, it’s short. Cute top, but sizing just didn’t work ☹️.","15-May-2020"
"https://www.nuuly.com/products/amira-utility-blouse?color=066","AnneMarie","Great with Jeans","I love this blouse with jeans. It is soft cotton, short sleeve and comfortable.","10-Mar-2020"
"https://www.nuuly.com/products/amira-utility-blouse?color=066","natty","Great casual top","This was just so simple to throw on with some high waisted jeans and tennis shoes. The neckline was the perfect depth. Just a great look for a casual day or errands or whatever.","25-Feb-2020"
"https://www.nuuly.com/products/amira-utility-blouse?color=066","Racheldwise","Love the shirt but petite is very cropped","I liked the style of this shirt, but the petite was so cropped on me! I have a very short waist and it was still too cropped. Maybe the regular sizes would be a little better!","5-Feb-2020"
"https://www.nuuly.com/products/amira-utility-blouse?color=066","CuteCalmCactus","Cute and comfy","Love this shirt! Such an easy top to throw on. It is a slouchy loose shirt TTS. You could size down if you wanted but I was happy with my normal size. It is slightly sheer but a nude bra works great.","4-Jan-2020"
"https://www.nuuly.com/products/amira-utility-blouse?color=066","Trayment","Boxy","Was a bit wrinkly so I didn’t end up wearing. Also pretty boxy. Wanted to love but didn’t","4-Dec-2019"
"https://www.nuuly.com/products/amira-utility-blouse?color=066","alliew","Cute Shirt!","A TINY bit tight on the chest if you're a little bit busty, but if you don't have boobs - this shirt is adorable. I got loads of compliments on it throughout the night!","18-Nov-2019"
"https://www.nuuly.com/products/amira-utility-blouse?color=066","Goodjuju","Not flattering","Didn’t end up wearing it after trying it on. The fit was not flattering on my body.","6-Nov-2019"
"https://www.nuuly.com/products/amira-utility-blouse?color=066","Abbey","Long torso? Just say no.","The photo is a little deceiving--this was WAY short. Considering how billowy it is, I was hoping I could tuck it in at the front, but it's too short to do that. Quality seemed fine.","31-Oct-2019"
"https://www.nuuly.com/products/amira-utility-blouse?color=066","emmyfromtheblock","A little boxy, but cute","Had a hard time making this top work for me. Pretty boxy in the shoulders, and just never fit right.","EMPLOYEE REVIEW"
"https://www.nuuly.com/products/amira-utility-blouse?color=066","Fionabenhur","Perfect casual blouse","Great material that is light but not see through. Deep v neck and good sleeve length. Perfect length in petite size for me as I’m short waisted and it hit low hip but not too long. Boxy fit but still flattering. Loved it!","29-Sep-2019"
"https://www.nuuly.com/products/amira-utility-blouse?color=066","jstreet","Easy Basic!","This top was super easy & comfortable to wear! Great option for work or to wear on the weekend. It definitely fits baggy and I decided to wear a camisole underneath because it was somewhat low cut.","26-Sep-2019"
"https://www.nuuly.com/products/amira-utility-blouse?color=066","ghartwig19","Great top for work","I got to wear this top a few times over the course of the month. This top definitely runs larger and could become pretty low cut over the course of the day, so I would have to keep adjusting it, but it's definitely a great top for work! Super comfortable and breathable fabric as well.","6-Sep-2019"
"https://www.nuuly.com/products/amira-utility-blouse?color=066","DKNYC","Amira Utility Blouse","Easy going shirt that drapes well. Great for errands or brunch.","6-Sep-2019"
"https://www.nuuly.com/products/amira-utility-blouse?color=066","Ashleigh","Comfy and cute","This was comfy and cute with a front tuck with jeans. It’s just not my style but would be great for workwear too!","5-Sep-2019"
"https://www.nuuly.com/products/amira-utility-blouse?color=066","LaurenGB","Amira Utility Blouse","I loved this shirt! It is perfect for work, travel or a casual dinner date. It didn't feel overly boxy.","3-Sep-2019"
"https://www.nuuly.com/products/amira-utility-blouse?color=066","Miam","Amira Utility Blouse","Super comfortable, super cute! Fits true to size to just slightly large.","1-Sep-2019"
"https://www.nuuly.com/products/amira-utility-blouse?color=066","Kate","Candy Stripes done right!","Got loads of compliments on this top. It looks great with a pair of jeans or dressed up a bit. Very comfy and fits really well.","27-Aug-2019"
"https://www.nuuly.com/products/amira-utility-blouse?color=066","G-","Amira Utility Blouse","Great top. I got a lot of compliments on this one. Perfect for summer - loved the light material. Not too low cut so I could wear to work but also light and flowy and great w jeans or jean shorts.","24-Aug-2019"
"https://www.nuuly.com/products/nia-tunic?color=061","Beachkat","Cute top","Wore the XXSP and it was great. Snug on the top but I left the buttons open anyway. I think if I had ordered an XS regular I probably could’ve pulled it off as a dress. But the petit length was fun over shorts. I’m 33-26-33","21-Mar-2020"
"https://www.nuuly.com/products/nia-tunic?color=061","JLS333","Cute & Easy!","This tunic is so cute and easy to wear with leggings. I am going to purchase it as I don't think I can live without it!","20-Mar-2020"
