"links_link","links_reviews_name","links_reviews_title","links_reviews_text","links_reviews_date"
"https://www.nuuly.com/products/distressed-cropped-wide-leg-jeans?color=093","Leslie","Comfy Chilling Jeans","These are great higher rise, wife leg jeans. I found through the day, like most jeans, they got a little baggier and baggier. So, if I were to rent them again, I may go one size down.","20-May-2020"
"https://www.nuuly.com/products/distressed-cropped-wide-leg-jeans?color=093","LoSlay","Soft as always and a fun cut","Love this brand but as is often the case after wearing they stretch out a bit much and shows creases. Still a fun choice and will rent again in summer.","8-Apr-2020"
"https://www.nuuly.com/products/distressed-cropped-wide-leg-jeans?color=093","Lwyett1985","Awesome!","Love these pants! The denim is lightweight, but not flimsy. It’s the cutest silhouette and the little bleach spots are adorable! The length is perfect in me for a pant that is cropped (above the ankle, below the knee). These I might just buy!","28-Mar-2020"
"https://www.nuuly.com/products/loveland-wide-leg-jumpsuit?color=043","StylePOVbyMelissa","You Are the Boss in This Jumpsuit","This is the new suit. Fits perfectly and makes you stand up straight and demand attention. Definitely a must have for your work wear wardrobe.","EMPLOYEE REVIEW"
"https://www.nuuly.com/products/loveland-wide-leg-jumpsuit?color=043","SusanBea34","Absolutely Loved This Piece","I was so excited to get this item in my recent delivery and boy did it not disappoint! I wore it for Mother’s Day and felt like a million bucks. Very comfy!","19-May-2020"
"https://www.nuuly.com/products/loveland-wide-leg-jumpsuit?color=043","LizG","So Flattering..and Comfortable!","Jumpsuits can be hit or miss in terms of fit - and this was a hit! I have pretty standard proportions and this hit in all the right place, accentuating the waist while also flattering my 5'5"" frame. I was rather surprise that the wide legs didn't make me fee any shorter than I naturally am. It was great for WFH and my virtual happy hours - really wish I could have taken this beauty out of the town...maybe one day soon!","18-May-2020"
"https://www.nuuly.com/products/loveland-wide-leg-jumpsuit?color=043","kelsey89","Amazing Jumpsuit","This is SO cute and is very flattering. It is also super comfortable. I am thinking about keeping it!","8-May-2020"
"https://www.nuuly.com/products/loveland-wide-leg-jumpsuit?color=043","ColeyArnold","Cute jumpsuit!","Loved this! Cute and flattering. A little tight in the stomach area (which is where I carry my weight- but still flattering) good for curves.","26-Apr-2020"
"https://www.nuuly.com/products/loveland-wide-leg-jumpsuit?color=043","llaw","Loved it so much I bought it!","I had originally wanted to rent the other color of this jumpsuit, but it wasn't available so I went with the polka dots, not exactly my style. But then it arrived, I tried it on, and oh my goodness! It looked amazing, super flattering for an hourglass shape!! So fun and the polka dots are not as overwhelming IRL then how they look on the site. First purchase on Nuuly, totally in love.","24-Apr-2020"
"https://www.nuuly.com/products/loveland-wide-leg-jumpsuit?color=043","katielily","Fit perfectly","It was so comfortable and easy. Fit like a dream. So easy to throw on and be dressed and looking cute! The elastic in the waist makes this most likely fit a large range of shapes and sizes. Flattering belt and buttons.","16-Apr-2020"
