"links_link","links_reviews_name","links_reviews_title","links_reviews_text","links_reviews_date"
"https://www.nuuly.com/products/go-west-utility-jumpsuit?color=031","Bianca","New with tags items are my love language","This arrived with the tags and I love getting things first! It was so cute and comfortable to wear to a farmers market. I didn’t wear a bra and it hurt afterwards but definitely worth it to look so cute!","3-May-2020"
"https://www.nuuly.com/products/go-west-utility-jumpsuit?color=031","Chechoc","In love","I wore these.. a lot! I would definitely rent again! These were perfect to dress up and down! I received so many compliments on these and I loved changing the outfits/ accessories with this piece","20-Apr-2020"
"https://www.nuuly.com/products/go-west-utility-jumpsuit?color=031","mk561","Great jumpsuit","This was better than I expected, perfect to throw on and so comfortable.","6-Apr-2020"
"https://www.nuuly.com/products/go-west-utility-jumpsuit?color=031","Stephey143","Casual cute","Love this jumper! Very comfortable. Wore it during social distancing. Would definitely rent again when we can get out more. Can be dressed up for a night out with booties or with sneaks.it is pretty long. I did have to role bottom 3 times for a cropped look.","1-Apr-2020"
"https://www.nuuly.com/products/go-west-utility-jumpsuit?color=031","jillcarter","Perfection","This jumper is perfection. The cut out in the back makes it just sexy enough to dress up for a date, but it's casual enough to wear all day and be a cool mom in. I absolutely LOVED it the second I put it on and new I was going to keep it!","1-Apr-2020"
"https://www.nuuly.com/products/go-west-utility-jumpsuit?color=031","scooter","Super cute - runs a little big for FP","I really liked this jumpsuit! Super comfortable and easy to wear (I wore it with a turtleneck underneath and a bit cozy sweater on top). The only slight negative was that it runs pretty big for Free People. I'm usually a medium in their stuff but I definitely could have gone with a small. It gaped in the waist, which was okay for me, but if you wanted to wear it by itself I think it'd be too big.","30-Mar-2020"
"https://www.nuuly.com/products/go-west-utility-jumpsuit?color=031","chelseahaha","Runs Large","I wasn't able to wear it the whole time since it was too large but it's super cute. If you're petite, I would not recommend, waste of a rental spot.","27-Mar-2020"
"https://www.nuuly.com/products/go-west-utility-jumpsuit?color=031","Geriisawesome","Casual Everyday Errand Outfit","Loved this and wore it a lot, it would be a bit more flattering if it were more fitted in the hips but the looseness is still pretty cozy and made me want to wear it all the time. Great for travel... except having to remove layers to go to the bathroom.","27-Mar-2020"
"https://www.nuuly.com/products/go-west-utility-jumpsuit?color=031","Pixiebelle","Adorable","I love this outfit , it is so comfortable and sexy. I did not wear it often however, as there are two buttons in the top back that I really struggled to button! Since you have to take it all off to use the bathroom and undo these buttons, this part was really frustrating for me and made it a bit inconvenient for me to wear. The look and feel however is perfect .","11-Mar-2020"
"https://www.nuuly.com/products/azalea-tee?color=230","karenriv","May keep this one!","Loved this shirt so much. I wore a tank top underneath when going out and it still looked super cute. It is very big even for a medium so definitely size down.","19-May-2020"
"https://www.nuuly.com/products/azalea-tee?color=230","Kmetelica","Such a cool top!","Loved this top! Couldn’t quite figure out how to wear a bra with it !","16-Mar-2020"
"https://www.nuuly.com/products/energized-shirt-dress?color=039","calssss","Too Big and Bulky","I definitely expected it to be a little bulky but between the length and the bulk, I felt like I completely lost my shape. If it was shorter I think I would have been okay with the bulk but it just wasn't my cup of tea this time and trust me - I love the bulky look. Soooo bummed.","2-May-2020"
"https://www.nuuly.com/products/energized-shirt-dress?color=039","LenaGirl","Great quality, thick material","Another beautifully constructed dress, just didnt fit me","1-May-2020"
"https://www.nuuly.com/products/energized-shirt-dress?color=039","chaus","Tried it on but never got a chance to wear it","Never had a chance to wear anywhere, but wish I did! Material was a little stiff.","28-Apr-2020"
"https://www.nuuly.com/products/energized-shirt-dress?color=039","buttercup","IN LOVE!!!!","Absolutely love this dress. The color is just stunning and I didn't have to worry about being bloated or anything bc I just tie in the front and VOILAAAA!! This dress is just so put together. I wish I had more time to wear this but due to COVID I couldn't wear it out as much as I'd love to. Would get it AGAIN once I can go outside!!!","3-Apr-2020"
"https://www.nuuly.com/products/energized-shirt-dress?color=039","catiecatcate","Safari Chic","Material was somewhat stiff but the belt snitched in the waist perfectly. Looked cute and not overbearing even on a short gal like me","1-Apr-2020"
"https://www.nuuly.com/products/energized-shirt-dress?color=039","MBrunsy1","Love this","It fit everywhere else perfectly except it’s about an inch too short. I’m 5’9 and curvy. I have a problem with a lot of dresses being too short. The large was too big and bunched too much when I tried it on. Length on the large would have worked though.","30-Mar-2020"
"https://www.nuuly.com/products/energized-shirt-dress?color=039","Chechoc","Work dress","Super cute piece, although this ran a little big. I wish it was a little more fitting. I have an athletic body type already (boxier mid section) and this didn't help accentuate the waist the way i wanted. Still such a fun pattern and great outfit for work and networking events.","26-Mar-2020"
"https://www.nuuly.com/products/energized-shirt-dress?color=039","Snabby","Very cute, but ultimately too large on top","I loved this dress and it's such a cute style, but I think the top works better on busty-er people. Perhaps it would have been better for me in a S rather than a M. Even after tying the belt I felt that it was way too loose on top and made me look boxy.","24-Mar-2020"
"https://www.nuuly.com/products/energized-shirt-dress?color=039","Victoriaroserodriguez","LOVE!","So fun and cute. Tons of compliments! It’s very vacation-like wear. Not sure if I would wear in the city","22-Mar-2020"
"https://www.nuuly.com/products/energized-shirt-dress?color=039","Eliza","True to Size","True to size, cinching belt, substantial fabric, mini length","7-Feb-2020"
