"links_link","links_reviews_name","links_reviews_title","links_reviews_text","links_reviews_date"
"https://www.nuuly.com/products/bishop-sleeve-crushed-velvet-top?color=041","Megandelphine","Good not great","I tried this to have something a bit different in my closet, the pink is quite shiny and the cuffs are rather tight on my wrists. I did get complements on it but personally didn't love it. Fit true to size.","23-Mar-2020"
"https://www.nuuly.com/products/bishop-sleeve-crushed-velvet-top?color=041","Asil","Pretty color but too trendy","Fun velvet, pretty color but neck & sleeves were a bit much all together. Didn’t end up wearing.","21-Mar-2020"
"https://www.nuuly.com/products/bishop-sleeve-crushed-velvet-top?color=041","Lauryn","Fit was off","The neckline was a bit odd and the fit around the body was boxy. I didn't end up wearing it. Pretty fabric though.","18-Mar-2020"
"https://www.nuuly.com/products/bishop-sleeve-crushed-velvet-top?color=041","Zhina","Warm and chic","It’s way shinier than I thought and I didn’t think I’d wear it but I paired it with some blue wide leg pants and it was so cute, it also felt so nice against my skin","14-Mar-2020"
"https://www.nuuly.com/products/bishop-sleeve-crushed-velvet-top?color=041","AllieRae","Great fit Great style Great color","Love this top for winter! The fit was great.","13-Mar-2020"
"https://www.nuuly.com/products/bishop-sleeve-crushed-velvet-top?color=041","Foxheart","Easy, fancy, fun","Easy to dress up or down. Best tucked in. My daughter loooved it. :)","11-Mar-2020"
"https://www.nuuly.com/products/bishop-sleeve-crushed-velvet-top?color=041","KristieD143","Perfect top for the office!","I wasn't overly excited about this top but wanted to wear it under a blazer that I also rented. When I received the shipment and tried this on, I kinda fell in love! The color is beautiful, the fit is perfect, and it's super soft. I love how feminine this looks, and that's not something I typically like. I may actually purchase this one!","2-Mar-2020"
"https://www.nuuly.com/products/bishop-sleeve-crushed-velvet-top?color=041","SustainabilitySam","just not that cute on me","I really liked this top! I really did. I guess the problem was I couldn't really find a cute outfit to wear it with. I wore it to work once and that was it. It's still really cute, fit well, idk it just didn't do it for me. May try the peach/amber color and see if I can make an outfit i like more.","2-Mar-2020"
"https://www.nuuly.com/products/bishop-sleeve-crushed-velvet-top?color=041","AshleyR19","Cute top for work or going out","I really liked this top! I paired it with black dress pants and a blazer for work. I was also able to dress it down with jeans on the weekend. Definitely recommend!","1-Mar-2020"
"https://www.nuuly.com/products/bishop-sleeve-crushed-velvet-top?color=041","ltzany","Boxy Velvet","Was hoping this was tight stretchy and fitted. It was boxy and bunched a bit when tucked in.","17-Feb-2020"
"https://www.nuuly.com/products/bishop-sleeve-crushed-velvet-top?color=041","nmadonna","Super cute, right size, true to picture","With tucked into high wasted black jeans! Cute, versatile, easy to wear but makes you feel stylish and elegant","12-Feb-2020"
"https://www.nuuly.com/products/bishop-sleeve-crushed-velvet-top?color=041","witchwithanmba","Cute and comfy, short sleeves","I liked it but won't keep it, as the sleeves were a bit short on me and it felt odd.","6-Feb-2020"
