"links_link","links_reviews_name","links_reviews_title","links_reviews_text","links_reviews_date"
"https://www.nuuly.com/products/fringe-hem-crop-top?color=038","Kelso","Bought!","While this runs large, the small fit me perfect on top, and I’m a 34D. Super flattering cut, glad I bought it!","3-May-2020"
"https://www.nuuly.com/products/fringe-hem-crop-top?color=038","KAG","Adorable!","I would of worn this item 100X over but due to COVID-19 I was unable to. I did however wear it once (with matching Bottoms) to a Zoom Wedding and loved it! I will be renting this item again!","EMPLOYEE REVIEW"
"https://www.nuuly.com/products/fringe-hem-crop-top?color=038","Raykaygabe","Almost bought this top!","It has a lining and a zipper, and is very good quality which I was worried about. It is not see through at all. Absolutely the cutest! Super versatile. Has matching pants!","1-Apr-2020"
"https://www.nuuly.com/products/fringe-hem-crop-top?color=038","katrobins","Just a hair shorter than I wanted it to be","This top is sooo cute but it was just a tiny bit shorter than it appeared on the model and I didn't have anything to wear with it. I would re-rent this top with a high rise jean in the future!","21-Mar-2020"
"https://www.nuuly.com/products/fringe-hem-crop-top?color=038","ShopRentWearRepeat","Cute, just not my style on.","Fit and is cute, but just didn't like it on me.","20-Mar-2020"
"https://www.nuuly.com/products/fringe-hem-crop-top?color=038","MarieCampbell","Fits like a glove","This top is very flattering - slightly cropped without showing too much. There is a zipper in the back for added detail. The material is thick but not too warm and feels very high quality. I ended up buying it so I could wear it again.","11-Mar-2020"
"https://www.nuuly.com/products/fringe-hem-crop-top?color=038","Canderhoo","So fun","Loved this fun little crop top. Really good quality fabric and structure.","6-Mar-2020"
"https://www.nuuly.com/products/fringe-hem-crop-top?color=038","Kirstenlynnn","Cutest top ever!","Loved this! I wore it on date night, during the day, everywhere. Got lots of compliments and it was very comfortable. Super flattering even if you are self-conscious about your arms/armpits. It runs *slightly* large, but not enough to make me rank it as that, just a bit. I also have a large chest, and it didn't look like a tent which most flouncy tops do. Rent this! I bought it :)","25-Feb-2020"
"https://www.nuuly.com/products/fringe-hem-crop-top?color=038","magstagrams","Fun!","Cute & comfortable! Wore this out dancing with some friends, and got lots of compliments. It was cropped just enough!","25-Feb-2020"
"https://www.nuuly.com/products/fringe-hem-crop-top?color=038","Shelly12","Fun and comfortable","Comfortable, has a lot of give.","17-Jan-2020"
"https://www.nuuly.com/products/lucia-faux-leather-belted-shorts?color=001","Bianca","Size up for these if you like baggy fit","Wish I would’ve gotten a large bc these were super tight and I like a loose fit.","3-May-2020"
"https://www.nuuly.com/products/lucia-faux-leather-belted-shorts?color=001","ReadeH","Wish I got to wear it","If it wasn't a pandemic I'm sure I would have worn this a lot. I'm 5'8"" so they were a little lower on my waist than I would have preferred, but overall still very cute.","30-Apr-2020"
"https://www.nuuly.com/products/lucia-faux-leather-belted-shorts?color=001","Rochelle","Shorts are awesome, belt is tight","The shorts were great in their own, but it seemed like the belt was a whole size smaller. Size up.","7-Apr-2020"
"https://www.nuuly.com/products/lucia-faux-leather-belted-shorts?color=001","ibernal1","Great style!","Liked this but just couldn’t rock it the way I wanted too.","28-Mar-2020"
"https://www.nuuly.com/products/lucia-faux-leather-belted-shorts?color=001","tooooses","Honestly just couldn't pull it off","I was trying something new with these but turns out the ruffles/belted look on my body type just isn't meant to be.","6-Mar-2020"
"https://www.nuuly.com/products/seamed-slim-straight-jeans?color=092","anon","Fun jeans, should have sized down","I really liked these jeans and wore them quite a bit. However, they were just a little too big. I'd recommend sizing down.","31-Mar-2020"
"https://www.nuuly.com/products/seamed-slim-straight-jeans?color=092","Phoenixblossomranch","Cute, but didn't fit.","Very cute, but the waist is very tight and fitted.","19-Feb-2020"
"https://www.nuuly.com/products/seamed-slim-straight-jeans?color=092","maraelaine","Obsessed with the fit of these jeans","These are straight heaven in pant form. Flattering, fit for those of us with small waists :)","3-Feb-2020"
"https://www.nuuly.com/products/irongirl-jacket?color=001","hmp2004","lightweight, stretchy, edgy jacket","love it! Sleeves were a little long, but overall, the jacket was just a little too large. Had I ordered a size down, I would have kept it!","14-May-2020"
"https://www.nuuly.com/products/irongirl-jacket?color=001","Mudmo","Shrunken shiny moto jacket","Cute jacket, but I felt it was really restrictive. Might have been a better rental in warmer weather.","27-Apr-2020"
"https://www.nuuly.com/products/irongirl-jacket?color=001","ericab","Love!!","Super cute, lots of compliments. It's very thin and light which I liked.","31-Mar-2020"
"https://www.nuuly.com/products/irongirl-jacket?color=001","Glamazon1","Badass","While I have not yet had the opportunity to wear it (other than parading in front of the mirror, imagining how hot I will look), I bought this, knowing that I will rock the hell out of it when I can go outside again!","31-Mar-2020"
"https://www.nuuly.com/products/irongirl-jacket?color=001","susan230","Highly recommend","I love this jacket! True to size and went with almost everything. Highly recommend!","22-Mar-2020"
"https://www.nuuly.com/products/irongirl-jacket?color=001","dani6945","Obsessed","I LOVE this little jacket. It fits similar to a blazer but it way cuter! The snakeskin print is fabulous and can be dressed down for a night out, or worn over a dress for work. It is pretty warm, so definitely ideal for chillier evenings as we approach spring - seriously considering buying!","14-Mar-2020"
"https://www.nuuly.com/products/irongirl-jacket?color=001","MARCY697","Lightweight & stylish","Living in the south I need a lightweight jacket a lot and this did not disappoint. It looks very expensive and very classy. Easy option to throw on with everything from day to night.","3-Mar-2020"
"https://www.nuuly.com/products/irongirl-jacket?color=001","SustainabilitySam","staple jacket","wore this a bunch. fits/looks just as described. i wore it over gym clothes to look less homeless. i wore it to work. i wore it with friends. it's not super warm so definitely doesn't replace a parka or coat. it's very lightweight but cute!","2-Mar-2020"
"https://www.nuuly.com/products/irongirl-jacket?color=001","ouidawy","Loved it so much, I bought it","I loved this jacket so much, I bought it. I received LOTS of positive comments the one time I wore the jacket. It is a classic piece to add to any wardrobe.","26-Feb-2020"
"https://www.nuuly.com/products/irongirl-jacket?color=001","Zenia","Blazerrific","This jacket was the right accent to my wardrobe. It was beautiful. Felt great. Nice texture. Paired well with slacks and denim.","24-Feb-2020"
"https://www.nuuly.com/products/irongirl-jacket?color=001","Jessanne","LOVE THIS","This jacket was the COOLEST. I work in a company where you can wear jeans to work, and this was completely acceptable to wear. Material is like a stretchy fabric, and its super lightweight. I would totally recommend this! It's a little cropped, I'm 5'2, 120lbs and got an XS.","20-Feb-2020"
"https://www.nuuly.com/products/irongirl-jacket?color=001","Itinerantd","Too shiny for work","It’s almost glittery, more than the sheen in the photo - more for night out, very thin, unlined and raw edges faux suede, very staticky and the drape in the front shows a lot of the underside of the fabric, not like the photo. On top of that the shoulders of my usual size were tight.","15-Feb-2020"
"https://www.nuuly.com/products/irongirl-jacket?color=001","Eliza","SO cool","Great fit, fabric is awesome!","10-Jan-2020"
"https://www.nuuly.com/products/rainbow-pop-jacket?color=000","lavendertones","the most beautiful piece ever!","i fell in love with this jacket when i saw it online and even more so when i put it on! its so comfy on the inside and so bold and beautiful on the outside... i simply do not think i can live without it","15-May-2020"
"https://www.nuuly.com/products/rainbow-pop-jacket?color=000","yeags","obsessed. so many compliments and SO cute","I wore this a few times and was obsessed with it every time. I also got so many compliments. It fits cute and can be worn in a few different ways! Absolutely obsessed. Would have bought it if I didn't already post an Instagram in it lol. Very memorable jacket!!","24-Apr-2020"
"https://www.nuuly.com/products/rainbow-pop-jacket?color=000","Jenna89","Fun colors!","I feel like this jacket is a great example of why I like nuuly. It's fun, colorful, and I had a great time wearing out a few nights, but I probably wouldn't want to buy it because I don't know how much repeat wear I would get out of it. Feels like a rainbow teddy bear giving you a hug. Fit well on me.","18-Apr-2020"
"https://www.nuuly.com/products/rainbow-pop-jacket?color=000","BijouLaurent","Love the colors and overall look","The arms are a little short but it works and I’ve been wearing it over virtually anything (overalls, dresses). Also, you can dress it up or down. It’s perfection.","10-Apr-2020"
"https://www.nuuly.com/products/rainbow-pop-jacket?color=000","RachaelKelsey","Cozy Joy","This was a joy to wear. So sad to return it--I felt like wearing it was a public service in joy. It was a little small in the shoulders but definitely didn't stop me from wearing it every day.","3-Apr-2020"
"https://www.nuuly.com/products/rainbow-pop-jacket?color=000","ScarlettSH","Loved renting this","A fun piece, super soft and got lots of comments","27-Mar-2020"
"https://www.nuuly.com/products/rainbow-pop-jacket?color=000","madfin","Colorful Heaven","such a statement piece, worn with a white t-shirt and a black turtleneck a few times. loved by all","6-Mar-2020"
"https://www.nuuly.com/products/rainbow-pop-jacket?color=000","rfinch11","Everyone was obsessed!!","Wore it to a surprise party and i must've gotten asked by 5 different girls where I got my jacket. The fit was great and it was warm, but not too much so","3-Mar-2020"
"https://www.nuuly.com/products/rainbow-pop-jacket?color=000","abh","Great jacket","Great jacket just not my normal style","2-Mar-2020"
"https://www.nuuly.com/products/rainbow-pop-jacket?color=000","Haleighmc","Rainbow fun","I love this coat so much (I may buy it). It’s very warm, cozy, and fun! I will note there is no closure or pockets.","2-Mar-2020"
"https://www.nuuly.com/products/rainbow-pop-jacket?color=000","Myfavoritethings","The perfect pop of color to any look! The softness is unreal","I styled it with a faux leather blue midi skirt and leopard print tights!","EMPLOYEE REVIEW"
"https://www.nuuly.com/products/rainbow-pop-jacket?color=000","Denago","Super fun but not super practical","I felt so fun in this jacket - an instant mood booster. It’s very nice feeling and looks expensive. It doesn’t close though so prob not the most practical if you’re trying to keep warm in the winter but it was fun to wear when going out.","26-Feb-2020"
"https://www.nuuly.com/products/rainbow-pop-jacket?color=000","clairegraveline","Showstopper","I got compliments every single time I wore this! It’s so bright and fun. Looks adorable with a white tee and jeans. This is such a fun jacket and SO soft","26-Feb-2020"
"https://www.nuuly.com/products/rainbow-pop-jacket?color=000","Jessw","So cute!","The red is bright but it balances out - it’s a beautiful jacket and sooo soft!","23-Feb-2020"
"https://www.nuuly.com/products/rainbow-pop-jacket?color=000","Dking","70s","Got this for a 70s themed night and ended up buying it. So cute","21-Feb-2020"
"https://www.nuuly.com/products/rainbow-pop-jacket?color=000","Livv987","So cute","Super cute!!! Statement piece","18-Feb-2020"
"https://www.nuuly.com/products/rainbow-pop-jacket?color=000","Eliza","Fits Perfect","It's a perfect fit, super soft, but no closure","10-Jan-2020"
"https://www.nuuly.com/products/uo-diane-paperbag-wide-leg-pant?color=041","Jenx","Too tight in waist","The reviews said these pants ran small, so I sized up, but they were still too tight to be comfortable. I'm usually a size 8/10, and I ordered a 12. They weren't comfortable to wear around the house for WFH, for sure.","22-Apr-2020"
"https://www.nuuly.com/products/uo-diane-paperbag-wide-leg-pant?color=041","MiriahT","Love these!","I loved these pants and got so many complements on wearing them just once. They are so soft and so comfortable. I rented a 4 and kept them, but could have sized down to a 2. Love the pockets as well.","9-Apr-2020"
"https://www.nuuly.com/products/uo-diane-paperbag-wide-leg-pant?color=041","Znjc7","Cute pants, weird waist","The cut is flattering on the legs and hips but the loose fabric around the top of the waist didn’t look right on me. Maybe because I’m too short. But it kinda stuck out and I kept having to smooth it out. Overall, I like the pockets and the style. I think I should’ve sized up and maybe the waist would’ve worked better.","30-Mar-2020"
"https://www.nuuly.com/products/uo-diane-paperbag-wide-leg-pant?color=041","Rachelpants","Would have worn","These pants are awesome and fit well. They do run small, I normally wear a 4 and sized up to a 6 which fit perfectly. Would have worn these many times except COVID-19 hit and we cannot go out. Will probably rent these again :)","17-Mar-2020"
"https://www.nuuly.com/products/uo-diane-paperbag-wide-leg-pant?color=041","glamathlete","Sexy? No, but that ain't everything","These pants are definitely man repeller and not what I would wear if I wanted a guy to check out my bum. But hey, I'm a feminist and I like what I like. Want to wear pajamas to a work meeting? These pants will help.","14-Mar-2020"
"https://www.nuuly.com/products/uo-diane-paperbag-wide-leg-pant?color=041","k0k0","Great work pants with a great pattern","Fit perfectly. Wearing them felt like getting away with wearing fancy pajamas in the office.","11-Mar-2020"
