"links_link","links_reviews_name","links_reviews_title","links_reviews_text","links_reviews_date"
"https://www.nuuly.com/products/led-zeppelin-bomber?color=007","mamajama","Fun Bomber","The jacket itself was pretty cool, but the collar I felt landed at a kind of awkward spot and was a little stiff for how high it went. Definitely a different piece that will catch some eyes. There were some loose threads on the embroidering. Fit a little small","20-Mar-2020"
"https://www.nuuly.com/products/led-zeppelin-bomber?color=007","bananarama","There’s a reason it is 5 stars all around","It’s perfect. Can’t believe I didn’t buy it. I never wanted to take it off my body. In addition to all of its beauty it was so silky and comfortable. Sending up prayers that I can rent it again some day soon 🙏🏼","25-Feb-2020"
"https://www.nuuly.com/products/led-zeppelin-bomber?color=007","LoveJoy","Such a fun Jacket!","I received compliments every time I wore this festive jacket. I threw it on for errands during the day and wore it at night for an evening out. This is a keeper!","8-Feb-2020"
"https://www.nuuly.com/products/led-zeppelin-bomber?color=007","jadem","Much cuter than expected","This ended up being MUCH cuter than expected. Worn to an 80’s rock themed party- but I’d totally wear it out any night! I ordered a large (usually a medium) and it was a little baggy, but could make it work no problem","24-Dec-2019"
"https://www.nuuly.com/products/led-zeppelin-bomber?color=007","Chandralynnm","LOVED THIS UNIQUE JACKET","I'm obsessed with this jacket and will probably be buying it at some point! The fit was perfect and I was really impressed with the quality. The lining on the inside makes this jacket a little warmer so its been perfect for the NYC weather that cant seem to make up its mind. I wore it to work and out and about and I got so many compliments. More unique Led Zeppelin pieces please :)","24-Nov-2019"
"https://www.nuuly.com/products/led-zeppelin-bomber?color=007","Krivers","Cute!","Overall I thought it was cute! Mine was a little damaged (missing some stones/snags) but nothing super noticeable. Paired it with a black tank, jeans, and black heels.","16-Nov-2019"
"https://www.nuuly.com/products/led-zeppelin-bomber?color=007","Mischy","Nothing short but amazing","Wore it with a shirt and jeans MANY times - at work, in the airport, at the bar, in the club... Everyone loved it despite how flashy it is - it's something about wearing a Zeppelin jacket I guess. SUPER SILKY! Hard to return. Intentionally runs large, even though I downsized to XS (Usually wear S) but I wouldn't have wanted it tight.","10-Nov-2019"
"https://www.nuuly.com/products/led-zeppelin-bomber?color=007","Arti","That 70s Look","This jacket is so very cool, and luckily for me, it perfectly matches a pair of silver booties I already own! I love the black rhinestone detailing on it, as well as the bit of silver bling on the cuffs. The sleeves do run a little short on me, but that's because I have long monkey arms. It isn't noticeable until I reach forward, though.","3-Nov-2019"
"https://www.nuuly.com/products/led-zeppelin-bomber?color=007","jmnarcik","Compliment Overload","Unfortunately I only got to wear this once because it wasn't cold enough but so many girls stopped me asking me where I got this. I will be renting this again when it gets cold enough!","30-Sep-2019"
"https://www.nuuly.com/products/led-zeppelin-bomber?color=007","Eli","True to Size","Fits as expected","1-Aug-2019"
