"links_link","links_reviews_name","links_reviews_title","links_reviews_text","links_reviews_date","links_reviews_purpose"
"https://www.renttherunway.com/pdp/items/AMU213","Stephanie","Great color for simple work piece","It fits true to size (so I thought it was a bit large on me, but I liked the look of oversized). Worked well with skinny jeans and heels, and the color is gorgeous","February 19, 2020","Work"
"https://www.renttherunway.com/pdp/items/AMU213","Courtney","Nice roomy blouse for work!","This shirt is not stretchy at all. However, it was still roomy in the stomach and bust area. The sleeves were a nice touch and well made. I received several compliments on the color of it. It's a nice V neckline for a bigger chest without showing any cleavage. Would wear again and recommend this top!","January 31, 2020","Work"
"https://www.renttherunway.com/pdp/items/AMU213","Emily","Pretty and comfortable","This was a really well made blouse. Very comfortable, soft material and the length is perfect to leave out or tuck in. Would definitely wear again!","January 24, 2020","Work"
"https://www.renttherunway.com/pdp/items/AMU213","Caitlin","Great color!","Great blue color! Easy to wear.","January 19, 2020","Everyday"
"https://www.renttherunway.com/pdp/items/AMU213","Gloria","Love this top!","Such a cute top! Great quality material. Fits true to size and is perfect for work or a fun day/night out!","December 11, 2019","Work"
"https://www.renttherunway.com/pdp/items/AMU213","Emily","Beautiful blue with great sleeves","I wore this to dinner with my parents and to work. I loved the color and the sleeves. Feels classic but with a little more visual interest. Fabric feels very quality. It did wrinkle a bit but it was easy to iron/steam out. Love love loved.","December 10, 2019","Everyday"
"https://www.renttherunway.com/pdp/items/AMU213","Carlyn","Good color, fine cut","The blue is beautiful but the top didn't particularly stand out. It wrinkled easily.","December 9, 2019","Date"
"https://www.renttherunway.com/pdp/items/AMU213","Hova","Nice color, cut and fabric","Very flattering oversized v neck. Nice thick fabric, perfect for spring or even winter. Would be a nice shirt for the office or professional setting.","April 13, 2020","Everyday"
"https://www.renttherunway.com/pdp/items/AMU213","Elizabeth","Too tight","I didn't wear this because it didn't fit right. Too loose in the sleeves and too tight on the body","March 30, 2020","Work"
"https://www.renttherunway.com/pdp/items/AMU213","Courtney","Great color. Fit perfectly","Excellent fit. Nice quality.","March 15, 2020","Date"
"https://www.renttherunway.com/pdp/items/AMU213","Catherine","I rented this for everyday wear.","I rented this shirt to be able to wear to work or a night out. I loved the color, and the idea of the cut of it. However, once I put it on it was very big and poofy and didn't really have a shape to it, so I only ended up wearing it once before returning it. I would not rent this shirt again.","March 4, 2020","Large"
"https://www.renttherunway.com/pdp/items/AMU213","Gia","A good way to mix up a black wardrobe","The color is really great and the structured sleeves are fun and different. It doesn't feel like the most well made top I've ever rented but I enjoyed wearing it twice.","February 26, 2020","Work"
"https://www.renttherunway.com/pdp/items/AMU213","Amanda","Couldn't get past the sleeves","Not a fan of the sleeves, they didn't suit me and then were too bunchy to wear this shirt with a jacket or cardigan.","February 25, 2020","True to Size"
"https://www.renttherunway.com/pdp/items/AMU213","Cassandra","Loved!!!","Absolutely loved everything about this shirt. The color. The fit. Everything. Wore it with tighter work pants to balance the flowyness of this shirt and received so many compliments! Would 100% rent again!","January 14, 2020","Large"
"https://www.renttherunway.com/pdp/items/AMU213","Linda","Haven't worn yet","I love the fit and color.","December 17, 2019","Party"
"https://www.renttherunway.com/pdp/items/AMU213","Casey","Great color","Really pretty, vibrant color. Runs a bit large but it's meant to look oversized. I ordered true to size and was perfectly fine.","December 16, 2019","Large"
"https://www.renttherunway.com/pdp/items/AMU213","Aryn","Gorgeous blue top, great fit and lots of compliments!","Rented this for a concert and I wanted something that gave me plenty of room to move in. The color is a gorgeous blue, true to the picture. Loved the way it was longer in the back than the front and the V neck isn't so low it reveals any unnecessary cleavage. I hated at the end of night I realized I didn't have any photos of the whole top, just a ton of me and my friends having a blast at the concert! Will definitely rent again.","December 14, 2019","True to Size"
"https://www.renttherunway.com/pdp/items/AMU213","Kat","Pretty, professional work shirt.","Really love this bright blue shirt. The detailing is simple but chic.","November 8, 2019","Work"
"https://www.renttherunway.com/pdp/items/AMU213","Mia","Very flattering","I wore this top with vegan leather pants. It's a little longer in the back and covered my tush, which is good for everybody!","November 4, 2019","Date"
"https://www.renttherunway.com/pdp/items/SAN90","Allison","Perfect every day addition","Loved the voluminous sleeves and color","March 1, 2020","Everyday"
"https://www.renttherunway.com/pdp/items/SAN90","Kris","Great sweater but oversized","Loved the sweater but very oversized I ended up tucking it into my jeans in the front","December 21, 2019","Everyday"
"https://www.renttherunway.com/pdp/items/SAN90","Emily","Casual, comfortable sweater","Wore this during the week. I work from home and was looking for some nicer pieces without sacrificing comfort. I debated buying this I loved it so much. My only slight gripe was that the buttons were spaced out almost too far so it bunched a bit.","December 21, 2019","Everyday"
"https://www.renttherunway.com/pdp/items/SAN90","Ashley","Comfy sweater and dope design!","Super comfy, oversized sweater that's perfect for fall and cooler weather. Wore it several times for weekend outings and even worn to work. Loved the design and color scheme.","December 11, 2019","Everyday"
"https://www.renttherunway.com/pdp/items/SAN90","Whitney","If Fall were a Sweater..","Absolutely loved this sweater! The colors are perfect for Fall, so comfortable! I'm definitely going to rent again!","October 24, 2019","Everyday"
"https://www.renttherunway.com/pdp/items/SAN90","Xiomara","Everyday vibes","Runs big, I'm usually large and got it medium. I liked it, didn't pile.","October 24, 2019","Everyday"
"https://www.renttherunway.com/pdp/items/SAN90","Carina","Funky sweater","Funky sweater. Got lots of compliments. Knocked a start off only because it wasn't my favorite, but definitely good for a one time rental.","October 21, 2019","Everyday"
"https://www.renttherunway.com/pdp/items/SAN90","Brittany","Love this Cardigan!!!","I have worn this so many times already. The colors are perfect, it's easy to wear (dressed up, down, layered or alone), and it is soft and comfy. I don't want to return it!!!","October 20, 2019","Everyday"
"https://www.renttherunway.com/pdp/items/SAN90","Molly","Cute trendy sweater to add some color to an outfit. Will rent again!","Loved this. I wore it with a white ribbed, slightly cropped tshirt, ripped boyfriend jeans, and doc martens. Will for sure rent again - like the slightly oversized lose look of it and colors are awesome","October 17, 2019","Everyday"
"https://www.renttherunway.com/pdp/items/SAN90","Jelissa","Loveeeeeee","This sweater was so comfortable and perfect for fall. I got a ton of compliments. I think I might buy it","October 15, 2019","Other"
"https://www.renttherunway.com/pdp/items/SAN90","Yonikkap","Fell for it cardigan","Beautiful and warm in every way. Pair it with black or white tee .. even brown or mustard or red. Looks great with jeans or skirt. Get a few wears out of it. Compliments and stares all day.","October 6, 2019","Other"
"https://www.renttherunway.com/pdp/items/SAN90","Hannah","I might buy this I love it so much","The fit is slightly oversized and relaxed and it is the perfect cardigan to wear as a top. So on trend. Very versatile.","March 6, 2020","Other"
"https://www.renttherunway.com/pdp/items/SAN90","Janelle","Great everyday sweater","","March 5, 2020","Everyday"
"https://www.renttherunway.com/pdp/items/SAN90","Nicole","Pretty colors but not flattering.","Was hoping to wear this as a cardi w nothing under but it was a little lower in the front than I would have liked, and the horizontal stripes weren't loving my midsection.","March 4, 2020","Everyday"
