"links_link","links_reviews_name","links_reviews_title","links_reviews_text","links_reviews_date","links_reviews_purpose"
"https://www.renttherunway.com/pdp/items/KS145","Lindsay","Easy, breezy, feminine, and comfortable","This dress had the perfect amount of pink, pineapples, and ruffles to make it feminine and fun. I wore it to a HUGE brunch on a cruise and because it was so loose it didn't get in the way of enjoying all I cared to eat. Bonus! It was lightweight on a hot day.","January 22, 2020","True to Size"
"https://www.renttherunway.com/pdp/items/KS145","Monica","Love KS","I always love a good Kate Spade dress. I just find occasionally sizing is not typical. That was the case here. The dress is very oversized. It's still beautiful and comfortable though. I'd rent again but size down.","November 26, 2019","Vacation"
"https://www.renttherunway.com/pdp/items/KS145","Katy","Fun summer dress","Cute off the shoulder dress. Great for a summer evening out. I'm 5'10"" and it wasn't too short. Plenty of room to move around and good twirl factor. Worked great with a strapless dress. Sort of a pain to iron","September 7, 2019","Date"
"https://www.renttherunway.com/pdp/items/KS145","Sonya","Adorable","Because I have such broad shoulders, not many off the shoulder looks work but this one did! It didn't ride up at all. I loved the color and the baby-doll fit. Very fun!","September 5, 2019","Everyday"
"https://www.renttherunway.com/pdp/items/KS145","RTR Customer","Perfect for growing baby bump!","Wore this at 23 weeks pregnant and it was so comfortable and I received so many compliments! Runs a little big but I cinched the waist a bit! So fun for spring/summer!","August 16, 2019","Everyday"
"https://www.renttherunway.com/pdp/items/KS145","RTR Customer","Loved this dress!","This dress is absolutely adorable in person. Also, very flattering and comfortable. I will rent it again. Highly recommend!","July 7, 2019","Vacation"
"https://www.renttherunway.com/pdp/items/KS145","RTR Customer","Super cute but size down!","This dress was so cute! I wore it for a luncheon and it was perfect. Definitely runs big so size down! Stayed off my shoulder the whole time with no problems and wasn't see through at all. Would wear again!","May 6, 2019","Party"
"https://www.renttherunway.com/pdp/items/KS145","Victoria","So cute!!","Highly recommend this dress for spring/summer. Was very cute and fit well on an athletic body type.","April 16, 2019","Everyday"
"https://www.renttherunway.com/pdp/items/KS145","RTR Customer","This is not my style but I loved it!","I rented this dress for vacation in FL. I loved it! It fit great and I thought it was super flattering! I have a pear shaped body and I really liked how it fit on my waist. The off-the-shoulder slips up a bit but that happens with any off-the-shoulder outfit","April 9, 2019","Vacation"
"https://www.renttherunway.com/pdp/items/KS145","Elizabeth","Fun and flirty","This is such a fun dress. It's a little voluminous, which combined with the elastic waste and neckline make it very forgiving. I wouldn't say it runs large but if you want a more fitted feel then size down. Perfect for vacation date nights!","March 28, 2019","Vacation"
"https://www.renttherunway.com/pdp/items/KS145","Molly","Sweet and short","I really loved this dress... but my family said it was too short. I am 5'8"". I would still rent again!","October 4, 2018","Date"
"https://www.renttherunway.com/pdp/items/KS145","Laura","Great dress! Rent this!","Fit great and it is so fun!","September 12, 2018","True to Size"
"https://www.renttherunway.com/pdp/items/KS145","Liz","So cute! Great for a casual night out!","I loved this dress and wish I could buy it. It's the first off the shoulder dress I have worn that stayed in place!","September 12, 2018","Vacation"
"https://www.renttherunway.com/pdp/items/KS145","Talia","Perfect summer day dress!","I got this for a bridal shower and basically wore it as many times as possible before it was too wrinkled and I had nowhere left to wear it to. The pineapple design is so cute, and the fabric is light and breathable. It runs big, especially on top, but I still found it so flattering.","August 14, 2018","Large"
