"links_link","links_reviews_name","links_reviews_title","links_reviews_text","links_reviews_date","links_reviews_purpose"
"https://www.renttherunway.com/pdp/items/TNT32","Ally","Loved this top!!","Love the look of this top- cute and flirty with the open shoulders and extra detail in the sleeves plus a nice print for fall when it's not too cold yet!!","November 4, 2019","Everyday"
"https://www.renttherunway.com/pdp/items/TNT32","K","Cute and flirty","This was more flattering than I thought given that I have broad shoulders. I unbuttoned the neckline a lot so it was more comfortable. FYI the buttons are insanely hard to undo... took me forever. Length of this is a bit cropped. I tucked it into high waisted jeans.","August 21, 2019","Work"
"https://www.renttherunway.com/pdp/items/TNT32","Eugenia","Sexy Fun","Love love cold shoulders.... looks great with skinny, loose or tucked in, would re rent again!","March 3, 2019","Party"
"https://www.renttherunway.com/pdp/items/TNT32","Lindley","I couldn't get past the arms...","I almost didn't wear the blouse because it came with two of the neckline buttons missing and buttoned off-center. There was also too much fabric on the arms for my taste and ended up wearing the blouse with a sweater over top.","January 29, 2019","Work"
"https://www.renttherunway.com/pdp/items/TNT32","Katie","Flirty and fun top","Amazing!! Perfect for date night and worn again for a night out at work conference in Vegas. Detailing on sleeves is beautiful and buttons can be undone to show a little more chest. For the date I work tucked in the front and Vegas (because I was beyond bloated) I work untucked and it hid the belly. LOVED THIS SHIRT.","December 11, 2018","Date"
"https://www.renttherunway.com/pdp/items/TNT32","Susan","Fun too","Fun date night top","July 15, 2018","Date"
"https://www.renttherunway.com/pdp/items/TNT32","Cherie","Super Cute Top ... Day to Evening!","Absolutely loved this top! Received many compliments - paired it with a casual pair of jeans and it transitioned easily from an afternoon baseball game to an early dinner with friends. Fits great; runs true to size. Lightweight fabric ... will definitely rent again!","June 11, 2018","True to Size"
"https://www.renttherunway.com/pdp/items/TNT32","Stacey","So many compliments!","This top is one of my favorites. I wore it 3 times! Each time I hot several compliments. Couldn't tell if it's navy blue or black. Cold shoulder and flowey sleeves make this extra flirty. Paired with white jeans and also blue jeans and booties. Love!!","May 19, 2018","Everyday"
"https://www.renttherunway.com/pdp/items/TNT32","Jennifer","Loved this","I loved this top and would definitely rent again. I wore it with jeans for sightseeing. Loved the sleeve details.","April 25, 2018","Vacation"
"https://www.renttherunway.com/pdp/items/TNT32","Ashley","Tredy but still comfortable for everday life","A little shorter in the front but perfrct for a front tuck","March 6, 2018","Everyday"
"https://www.renttherunway.com/pdp/items/TNT32","Allyssa","Cute top!","This top is really cute! I wore it to work and out to happy hour aftewards. You can button it all the way it to the collar, or wear it unbuttoned like I did. The cold shoulder cut outs get a little tight depending on how youre moving your arms, but otherwise it fit true to size and has a really pretty floral print.","February 2, 2018","Everyday"
"https://www.renttherunway.com/pdp/items/TNT32","Kristin","Super Cute","Really liked this top. I thought it was super cute. It was very comfortable. I appreciate the neckline on this top. The bare shoulders is also very cute. I thought I would be cold but that is not the case. The top is true to size and I really liked it.","January 31, 2018","True to Size"
"https://www.renttherunway.com/pdp/items/TNT32","Samantha","RTR Team Review","Floral and ruffles, what more do you need? This top is functional for various types of events. You can wear jeans for a more casual look or event dress it up with slacks or a skirt! I love the ruffles on the sleeves, which adds more dimension to the top and cold shoulder is always a flattering look on all! Love this top and it's essential for the upcoming weather change!","January 11, 2018","True to Size"
"https://www.renttherunway.com/pdp/items/TNT32","Alisa","Cute Cold Shoulder","This was on the small side, I went with the 4 which was perfect, but still on the short side and a little tight around the shoulder area. I wore with a tank under so the length was fine, but I wouldn't have been able to wear if I was going to be active in any way. It was fine for a dinner out with friends though!","April 1, 2020","Small"
"https://www.renttherunway.com/pdp/items/TNT32","Shellie","1st delivery adjustments","I pretty much knew when I saw the size prescribed for me on this blouse that it would be too small through the shoulders and bust. The blouse is beautiful and it was too tight to my back shoulders. I have an athletic build so I just have to in the future make sure I adjust size might trade it in for larger size because it really is pretty.","November 9, 2019","Date"
"https://www.renttherunway.com/pdp/items/TNT32","Terri","Fun and flirty","Versatile for work or fun.","August 12, 2019","Everyday"
"https://www.renttherunway.com/pdp/items/TNT32","Erika","Didn't love after all","Cute, but fit a little too snug on the bust. Ended up returning it","June 26, 2019","Small"
"https://www.renttherunway.com/pdp/items/TNT32","Kelly","Rented for every day wear, and it looks wonderful with blue or black denim","Looks beautiful on!","June 9, 2019","True to Size"
"https://www.renttherunway.com/pdp/items/TNT32","Christine","Really pretty top. I loved it and wore it with a pair of white dressy jeans.","Fit great! Would definitely rent again!","June 9, 2019","True to Size"
"https://www.renttherunway.com/pdp/items/TNT32","Katia","Loved the sleeves! Such a fun add.","A little tight in the shoulders but overall, fit well.","June 5, 2019","True to Size"
"https://www.renttherunway.com/pdp/items/TNT32","Phyllis","Simple sexy. The fabric and flow are so feminine. Works with jeans or dress pants.","Soft fabric, beautiful draping on the sleeves. The small print on the black fabric gives the shirt just enough pop and color to pair it with a variety of bottoms. The slight ruffle on the sleeves gives it a feminine touch and subtle movement. I wore it to work, to a picnic and out to dinner with friends.","May 30, 2019","Party"
"https://www.renttherunway.com/pdp/items/TNT32","RTR Customer","Went to a wine lunch & wore with white jeans. Felt very fun & light.","Flowy without being too big. I tucked in the front and loved the neckline too.","April 19, 2019","True to Size"
"https://www.renttherunway.com/pdp/items/TNT32","Michelle","Beautiful top but runs small","I loved this top but it was too tight in the chest! I was disappointed that a larger size wasn't available so I didn't get to wear it. The colors and the detail are so pretty. I usually wear a medium, but the material had no give and I couldn't really get it down over my bust. I'll be watching to rent it again in a size that fits.","March 6, 2019","Vacation"
"https://www.renttherunway.com/pdp/items/TNT32","Shannon","Cute and fun top","I was surprised am 8 fit because I have big shoulders and lats but this fit perfectly. Lots of compliments and wore with jeans and booties","February 6, 2019","Date"
"https://www.renttherunway.com/pdp/items/TNT32","Kate","Nice top","Good not great","November 29, 2018","True to Size"
"https://www.renttherunway.com/pdp/items/TNT32","Jessica","Beautiful but very snug","If you're a top heavy girl, be warned this shirt is going to be super tight on your boobs","October 22, 2018","Everyday"
"https://www.renttherunway.com/pdp/items/TNT32","Keisha","na","such a pretty top, i wore it with the top few buttons undone for a more casual look. It was a bit small in the chest: size up if you are large busted","October 11, 2018","Small"
"https://www.renttherunway.com/pdp/items/TNT32","Simone","Flowy and fun","Nice top. Fit as expected.","October 3, 2018","Everyday"
"https://www.renttherunway.com/pdp/items/TNT32","Amy","Super Cute - fun and flirty","Will rent again for sure","October 2, 2018","True to Size"
"https://www.renttherunway.com/pdp/items/TNT32","Lynne","Lots of compliments","Fit well","September 25, 2018","Date"
"https://www.renttherunway.com/pdp/items/TNT32","Donna","Just the right amount of fun","A little boxy in the fit, but looks great with skinny or straight leg pants and great with shorts/skorts. Soft, flowy material and I got tons of compliments!","September 4, 2018","True to Size"
"https://www.renttherunway.com/pdp/items/TNT32","RTR Customer","Pretty blouse for daytime or night","Arms a little snug","August 25, 2018","Everyday"
"https://www.renttherunway.com/pdp/items/TNT32","Laura","I love the sleeves","It was a little tight across the shoulders, but that will only be a problem if you are planning to raise your hands over your head at some point, like a concert or running screaming from zombies, maybe. But you'll look super cute while doing so.","June 11, 2018","True to Size"
"https://www.renttherunway.com/pdp/items/TNT32","Patricia","I couldn't wear it yet, will update when I get a bigger size :)","It's a beautiful shirt but too small, I will try again in a bigger size. I usually wear a 12 in tops, but will try a 14.","May 24, 2018","Everyday"
"https://www.renttherunway.com/pdp/items/TNT32","Hollly","Lots of compliments","Wore it two times while I had it Comfortable and cute","May 21, 2018","Everyday"
"https://www.renttherunway.com/pdp/items/TNT32","Lisa","Rent this for a cute top to pair with jeans!","Rented this to have for a fun top to wear on any given weekend! Went to dinner with friends and it was perfect with some distressed jeans & wedges! Comfortable, girly & a little pop with the cold shoulder makes is a great top to wear winter through summer. I would rent this again","May 15, 2018","True to Size"
"https://www.renttherunway.com/pdp/items/TNT32","Debbie","Absolutely darling!","Love this. Bought it. Super cute.","May 1, 2018","Date"
"https://www.renttherunway.com/pdp/items/TNT32","Nancy","Perfection","This top was the perfect length. Wore it with jeans and some cute shoes to a date night bar. Lots of compliments and just the right amount of shoulder!!","May 1, 2018","True to Size"
"https://www.renttherunway.com/pdp/items/TNT32","Kris","Easy and stylish","Wore this for my niece's First communion. Was easy to wear with a racer back bra and comfortable. Not so much my style but was great to give it a try. Looked cute with black pants and heels but you could dress up or down.","April 29, 2018","Other"
"https://www.renttherunway.com/pdp/items/TNT32","Sam","Casual night out","I found this ran a little small and tight in the arms, but it was fine. Cute, but nothing too special.","April 24, 2018","Small"
"https://www.renttherunway.com/pdp/items/MSGM61","Tiffany","I received lots of compliments..","#1960'sThemedBirthdayBash","August 19, 2019","Party"
"https://www.renttherunway.com/pdp/items/MSGM61","RTR Customer","Perfect Shift Dress for Bridal Shower!","I was skeptical of how this dress would look because of all the detail and material which can often make you look larger. It turned out to be thee PERFECT number for my bridal shower. I had to go with the smaller of the sizes because it runs big. It is a heavier material but once on you can't really tell. The length was perfect for me and I'm 5'3. It is hard to zip up by yourself so have someone handy. I also took it to the cleaners to get it hard pressed for my event. I paired it with a really tall heel & cute clutch and it was truly a hit!","July 6, 2019","Party"
"https://www.renttherunway.com/pdp/items/MSGM61","Talina","Photo Shoot Ready...","Wore this for our family photo shoot. Pretty dress... But not the brightest white (can't go too much into detail as my 1st post was clearly deleted as a result). It's really short and very tough to iron. But definitely served its purpose!","June 30, 2019","Other"
