"links_link","links_reviews_name","links_reviews_title","links_reviews_text","links_reviews_date","links_reviews_purpose"
"https://www.renttherunway.com/pdp/items/SUAHNB10","","","","",""
"https://www.renttherunway.com/pdp/items/RRY75","Christine","Everyday sweater","Thought it would look cuter but it was pretty normal once I put it on (nothing special). Overall, fit true to size and was pretty comfortable.","January 14, 2020","Work"
"https://www.renttherunway.com/pdp/items/RRY75","Loghan","IN LOVE","I didn't want to send this one back. The material is fantastic and it's seriously so stylish!","December 31, 2019","Everyday"
"https://www.renttherunway.com/pdp/items/RRY75","Eugenia","Not to warm","Runs on loos fit side, great leopard print, not a warm sweater, but pretty, long sleeves, longer then average","December 4, 2019","Work"
"https://www.renttherunway.com/pdp/items/RRY75","Jelissa","Comfy","Great comfy sweater. Nice thick fabric. Worn to work","November 10, 2019","Other"
"https://www.renttherunway.com/pdp/items/RRY75","Autumn","Crazy cats and kittens.","The material was not itchy but just not comfortable without another layer between. I didn't end up wearing but it is a fun pattern.","April 11, 2020","True to Size"
"https://www.renttherunway.com/pdp/items/RRY75","Alison","Cozy","I think you could size down in this - it was a little more oversized on me than on the model. Heavier weight material, so I think this would be pretty warm, and there's definitely room for a layer. I didn't wind up wearing it but I'd consider it again when it's colder.","April 1, 2020","Large"
"https://www.renttherunway.com/pdp/items/RRY75","Colleen","Super comfy, so versatile","I rented this sweater for a trip to Europe in mid-December. It was so comfortable and fit me perfectly (sometimes I have problem with length due to being 5'10). I then wore the sweater to work and for Christmas dinner before returning it. Very tempted to buy it, although I ultimately didn't. One of my favorite rentals!","December 27, 2019","Everyday"
"https://www.renttherunway.com/pdp/items/RRY75","Terri","Cute work sweater","I wore to work. It felt soft in comparison to other sweaters. I was comfortable in a M but I could have sized down. I am 5""5' and wear a 6/8. I didn't realize there was also green in this sweater. I loved it.","December 7, 2019","Everyday"
"https://www.renttherunway.com/pdp/items/RRY75","Taylor","Great everyday sweater","Cute oversized fit -- I wore it multiple times. Great weight and texture.","December 6, 2019","Large"
"https://www.renttherunway.com/pdp/items/RRY75","Melissa","Funky trendy print","Roomy sweater that looks great dressed up or down. Fabric was a little irritating to me but could be a personal preference.","November 18, 2019","Large"
"https://www.renttherunway.com/pdp/items/RRY75","Lauren","Nice Piece","I would normally wear a medium, but got a large for the oversize look. I paired with with leather leggings which worked great with boots!","November 13, 2019","True to Size"
"https://www.renttherunway.com/pdp/items/RRY75","Erin","Amazing sweater!","Loved the style and fit of this sweater!","November 12, 2019","Other"
"https://www.renttherunway.com/pdp/items/PK358","Heather","Charleston cute","Rented for a trip to Charleston. Loved this summery dress. Only thing I remember being funky was the top part was a little loose around the cut out, but overall will definitely rent again!","April 15, 2020","Vacation"
"https://www.renttherunway.com/pdp/items/PK358","Andy","Lovely print!","Wore this to Hawaii and I love this dress! Does run a bit big imo. And wrinkles easily","March 2, 2020","Vacation"
"https://www.renttherunway.com/pdp/items/PK358","Kristine","Runs small!!! Still very cute!","Runs at least 1 size small. I'm normally a true 6 and sized up to the 8. I have a large rib cage and small bust. Did not need to wear a bra! Wore to dinner date in Maui and was very comfortable, even in the heat. Great quality, adjustable straps, buttons are functional and reinforced with hidden snaps which was a bonus. Great rental!","January 26, 2020","Date"
"https://www.renttherunway.com/pdp/items/PK358","Brooke","Runs small; cute but not the most flattering","Cute dress, but runs small so size up. The material isn't flexible, so if you have a bust, be prepared for the snaps to unsnap constantly (don't worry, it'll still stay closed with the buttons). Didn't love where it hit me on the leg, as it wasn't the most flattering, but still cute.","January 4, 2020","Vacation"
"https://www.renttherunway.com/pdp/items/PK358","Stephanie","Summer fun !","This dress was so cute ! Loved the material an pattern. A+ for curvy girls","December 16, 2019","Party"
"https://www.renttherunway.com/pdp/items/PK358","Caroline","Cute as a button","This dress fit perfectly. Straps are adjustable-- great for tall girls. Lots of reviews mention the fabric being wrinkly-- it's linen, so that's to be expected. I didn't find it to be an issue. The print is super cute. It was comfortable and breathable for vacation in the keys. Loved it","December 11, 2019","Vacation"
