"links_link","links_reviews_name","links_reviews_title","links_reviews_text","links_reviews_date","links_reviews_purpose"
"https://www.renttherunway.com/pdp/items/RT229","Courtney","Great work jacket","I wore this twice in one week I liked it so much. It worked well with black and was a good look for a conservative office. Will rent again.","February 7, 2020","Work"
"https://www.renttherunway.com/pdp/items/RT229","Karen","Great fit. Professional style","I love this jacket. I've rented it 2 times and will rent again.","January 16, 2020","Work"
"https://www.renttherunway.com/pdp/items/RT229","Courtney","Great for work! Loved the fitted navy blazer!","Great fit and not too heavy for a summer/spring blazer.","October 10, 2019","Work"
"https://www.renttherunway.com/pdp/items/RT229","Bridgette","Cute and functional","This was cute, fashionable and comfy","July 12, 2019","Work"
"https://www.renttherunway.com/pdp/items/RT229","Hillary","Cute navy jacket","Nice cropped navy jacket. Comfortable, not itchy, and transitional spring jacket.","April 23, 2019","Work"
"https://www.renttherunway.com/pdp/items/RT229","Kerry","Great blazer!","Would definitely rent again but probably a size 2","March 12, 2020","Everyday"
"https://www.renttherunway.com/pdp/items/RT229","Mimi","Nice! Arm length runs short but I needed a size 6 actually","Wonderful","December 21, 2019","Everyday"
"https://www.renttherunway.com/pdp/items/RT229","Allison","A bit boxy but a great work blazer","I loved the slight fringe/ raw hem around the sleeves!","December 14, 2019","Work"
"https://www.renttherunway.com/pdp/items/RT229","Katie","Beautiful option for work","This is a beautiful jacket that works with both navy and black pants/skirts. Runs a little small, and I was glad to have sized up so I could layer it over long sleeved dresses.","October 1, 2019","Work"
"https://www.renttherunway.com/pdp/items/RT229","RTR Customer","Warm blazer perfect for work","This is a great blazer for work - pairs well with gray and navy. It's on the warmer side so better for cooler weather.","September 26, 2019","True to Size"
"https://www.renttherunway.com/pdp/items/RT229","Angela","Power jacket","Can also dress down. Great work piece.","August 6, 2019","True to Size"
"https://www.renttherunway.com/pdp/items/RT229","Rosalyn","What a beautiful jacket.","True to fit. Beautiful cut.","July 29, 2019","Work"
"https://www.renttherunway.com/pdp/items/RT229","Julie","Nicely made, weird fit","Pretty jacket. Well made. Just didn't fit right for me","July 14, 2019","Work"
"https://www.renttherunway.com/pdp/items/RT229","Diane","Great jacket!!","The fit was great even for not being petite. It looked great with nice jeans for a professional business casual look.","June 25, 2019","Work"
